20220420_CMX_NB_pollo_W16,20220420_CMX_NB_res_W16,20220420_CMX_NB_cerdo_W16,20220420_CMX_NB_pescadosymariscoscongelado_W16,20220420_CMX_NB_embutidos_W16
142233944.0,142334307.0,141777261.0,142233944.0,146198862.0
139376990.0,142465382.0,133691763.0,61319516.0,143038802.0
142334307.0,139270506.0,142508408.0,139376990.0,141709656.0
142465382.0,141777261.0,141640058.0,142465382.0,142233944.0
139270506.0,133691763.0,140482969.0,139270506.0,61319516.0
141777261.0,142508408.0,142246301.0,141777261.0,139376990.0
133691763.0,146133368.0,139309472.0,133691763.0,142334307.0
142508408.0,141640058.0,139921830.0,142508408.0,142465382.0
146133368.0,132696445.0,139358630.0,146133368.0,139270506.0
141640058.0,140482969.0,125999526.0,141640058.0,141777261.0
140482969.0,142246301.0,132776364.0,132696445.0,133691763.0
142246301.0,139309472.0,140450221.0,140482969.0,142508408.0
139309472.0,139921830.0,143106477.0,142246301.0,132696445.0
139921830.0,139358630.0,143153582.0,139309472.0,140482969.0
139358630.0,125999526.0,143589806.0,139921830.0,142246301.0
125999526.0,132776364.0,133964208.0,139358630.0,139309472.0
132776364.0,140450221.0,140372403.0,125999526.0,139921830.0
140450221.0,143153582.0,139215286.0,132776364.0,125999526.0
143153582.0,133964208.0,115491255.0,140450221.0,132776364.0
143589806.0,140372403.0,143663543.0,143106477.0,140450221.0
133964208.0,139215286.0,141728189.0,143153582.0,143106477.0
140372403.0,115491255.0,141717954.0,143589806.0,143153582.0
139215286.0,143663543.0,132764103.0,133964208.0,143589806.0
115491255.0,141728189.0,141818311.0,140372403.0,133964208.0
143663543.0,141717954.0,126046663.0,139215286.0,140372403.0
141728189.0,132764103.0,139123148.0,115491255.0,139215286.0
141717954.0,141818311.0,139811277.0,143663543.0,115491255.0
132764103.0,126046663.0,58028495.0,141728189.0,143663543.0
141818311.0,139123148.0,141670869.0,141717954.0,141728189.0
126046663.0,139811277.0,142252506.0,132764103.0,141717954.0
139123148.0,58028495.0,142375387.0,141818311.0,132764103.0
139811277.0,141670869.0,41976286.0,126046663.0,141818311.0
141670869.0,142252506.0,145934815.0,139123148.0,126046663.0
142252506.0,142375387.0,136698344.0,139811277.0,139123148.0
142375387.0,41976286.0,142416360.0,58028495.0,139811277.0
41976286.0,145934815.0,142463466.0,141670869.0,58028495.0
145934815.0,140306914.0,139139563.0,142252506.0,141670869.0
140306914.0,136698344.0,36409841.0,142375387.0,142252506.0
136698344.0,142416360.0,84939250.0,41976286.0,142375387.0
142416360.0,142463466.0,141693428.0,145934815.0,41976286.0
142463466.0,36409841.0,139237877.0,140306914.0,145934815.0
139139563.0,84939250.0,140321270.0,136698344.0,136698344.0
36409841.0,141693428.0,141904379.0,142416360.0,142416360.0
84939250.0,139237877.0,145324544.0,142463466.0,142463466.0
141693428.0,140321270.0,140409348.0,139139563.0,139139563.0
139237877.0,143088122.0,141771270.0,36409841.0,36409841.0
140321270.0,141904379.0,140423688.0,84939250.0,84939250.0
143088122.0,145324544.0,143032840.0,141693428.0,141693428.0
141904379.0,140409348.0,141775372.0,139237877.0,140321270.0
145324544.0,141771270.0,146033165.0,140321270.0,143088122.0
140409348.0,143032840.0,121360910.0,143088122.0,141904379.0
141771270.0,141775372.0,125598223.0,141904379.0,145324544.0
143032840.0,146033165.0,142447122.0,145324544.0,141771270.0
141775372.0,121360910.0,143665682.0,140409348.0,140423688.0
146033165.0,125598223.0,140313112.0,141771270.0,143032840.0
121360910.0,142447122.0,129610268.0,140423688.0,146033165.0
125598223.0,141785620.0,141642269.0,143032840.0,121360910.0
142447122.0,140313112.0,143053340.0,141775372.0,125598223.0
143665682.0,129610268.0,145306151.0,146033165.0,142447122.0
141785620.0,141642269.0,141748778.0,121360910.0,143665682.0
140313112.0,143053340.0,141720110.0,125598223.0,141785620.0
129610268.0,145306151.0,133151281.0,142447122.0,140313112.0
141642269.0,133151281.0,140311103.0,143665682.0,129610268.0
143053340.0,140311103.0,143239745.0,141785620.0,141642269.0
