city,customer_id,tier,Adjust_CLTV
CWB,109267474.0,10,244.1009409261096
CWB,109816902.0,10,346.0585933637515
CWB,109817681.0,7,1037.6685400312901
CWB,109823370.0,1,21022.760671677843
CWB,110354798.0,9,420.0291360735376
CWB,110367300.0,11,526.7006666368442
CWB,110371528.0,8,694.0302234049753
CWB,110406106.0,5,2051.7630584597828
CWB,110510401.0,11,981.6072971586524
CWB,110572318.0,4,2145.6767821209446
CWB,110587542.0,10,262.86103871847837
CWB,110974782.0,9,460.5758640391316
CWB,111095466.0,5,1997.8251973729919
CWB,111627353.0,8,738.6445899755702
CWB,111639237.0,9,466.64735526547906
CWB,111735559.0,10,333.0915525154554
CWB,111764450.0,10,95.50643507197948
CWB,111916003.0,11,3750.472537260729
CWB,111979157.0,9,449.5302436697736
CWB,112247204.0,4,2520.0409795472856
CWB,112323200.0,11,1171.0472162976353
CWB,112331792.0,10,79.62289556775198
CWB,112339682.0,9,621.2874230360667
CWB,112363392.0,5,2124.9624880764854
CWB,112376232.0,10,35.530557950733126
CWB,112804380.0,8,882.8921187474002
CWB,112963069.0,6,1567.1227245251148
CWB,113017352.0,10,345.4330129960143
CWB,113395836.0,5,1756.1486502417179
CWB,113396816.0,8,768.9718632493611
CWB,113560787.0,6,1381.7906817056385
CWB,113663757.0,7,1284.9702007660344
CWB,114143852.0,10,250.9932170879524
CWB,114144950.0,5,2004.9952129823816
CWB,114147816.0,7,1148.8613415838363
CWB,114166207.0,10,247.18302916956452
CWB,114941171.0,9,632.8404975969286
CWB,115357443.0,10,92.75528241517844
CWB,115368494.0,8,708.2057105951013
CWB,115386172.0,10,214.93132831759436
CWB,115404142.0,10,295.070607064821
CWB,115467200.0,10,365.00365771855644
CWB,115473103.0,9,554.2258023038808
CWB,115496203.0,6,1322.8507076830224
CWB,115510110.0,9,565.7100606606243
CWB,115535974.0,7,1234.1151329102054
CWB,115561090.0,11,147.63168303887065
CWB,115564328.0,6,1338.1694281791902
CWB,115583299.0,10,344.3012318366881
CWB,115607268.0,8,984.9721486661869
CWB,116055109.0,6,1635.8879761205028
CWB,116079645.0,10,103.67504757516512
CWB,116083554.0,8,937.9473888793394
CWB,116259926.0,10,305.45158746885585
CWB,116419102.0,10,83.24348538897847
CWB,116439577.0,10,244.5713047344723
CWB,116555918.0,8,858.3978076528297
CWB,116572513.0,10,320.540673888039
CWB,117260409.0,10,53.70754636888496
CWB,117266754.0,9,428.8451349316335
CWB,117306186.0,7,1252.426580934281
CWB,117306247.0,2,4928.541029223516
CWB,117360731.0,10,128.8485389444548
CWB,117373418.0,11,771.8849578577475
CWB,117387463.0,9,475.19900728114277
CWB,117402808.0,8,688.8142375401266
CWB,117425206.0,11,92.39297640231263
CWB,117440035.0,8,848.8296564812822
CWB,117462694.0,10,59.736926774387626
CWB,117797777.0,7,1054.3770578524257
CWB,117815787.0,10,95.4329707512703
CWB,117820517.0,8,999.3830398395116
CWB,117842592.0,3,2819.7396185123207
CWB,117860309.0,8,943.2705007743949
CWB,117895768.0,6,1380.6851211229196
CWB,117915499.0,5,1861.5660627600867
CWB,117923862.0,10,38.34854495969602
CWB,117930121.0,7,1310.1204523736626
CWB,118054216.0,8,839.8620858954341
CWB,118357056.0,10,78.10428227223072
CWB,118371410.0,10,103.70074738085333
CWB,118409721.0,11,278.1501872216017
CWB,118464040.0,4,2537.246617914131
CWB,118471486.0,7,1001.6615736031333
CWB,118473882.0,10,343.1237693811703
CWB,118478733.0,3,3510.500224294489
CWB,119206608.0,10,132.35260085822404
CWB,120140799.0,4,2359.0584122399227
CWB,120194941.0,10,165.87573670497812
CWB,120573253.0,9,491.66571586286204
CWB,120580280.0,9,584.7357813636963
CWB,120630761.0,8,679.4807659635397
