20220422_MDE_NB_verduras_W16,20220422_MDE_NB_frutas_W16,20220422_MDE_NB_tuberculos_W16,20220422_MDE_NB_contenedores_W16,20220422_MDE_NB_vasos_W16,20220422_MDE_NB_cubiertosypitillos_W16,20220422_MDE_NB_platosybandejas_W16,20220422_MDE_NB_empaqueyenvoltura_W16,20220422_MDE_NB_bolsas_W16,20220422_MDE_NB_bebidassinalcohol_W16,20220422_MDE_NB_huevos_W16,20220422_MDE_NB_leches_W16,20220422_MDE_NB_cremas_W16,20220422_MDE_NB_derivadoslacteos_W16
134053983.0,117964880.0,131672144.0,130891871.0,124870763.0,134053983.0,118005855.0,130891871.0,130891871.0,121182277.0,118530284.0,134053983.0,118005855.0,118005855.0
130891871.0,118546512.0,118034517.0,134053983.0,121860206.0,124309599.0,130891871.0,134053983.0,134053983.0,120248391.0,132260081.0,124309599.0,130891871.0,130891871.0
118005855.0,131672144.0,141707351.0,124309599.0,118546543.0,123105377.0,134053983.0,124309599.0,124309599.0,128626763.0,137183473.0,123105377.0,134053983.0,134053983.0
124393570.0,118034517.0,127981656.0,123105377.0,124850288.0,131657829.0,124309599.0,123105377.0,123105377.0,127330380.0,118595837.0,131657829.0,124309599.0,124309599.0
124979300.0,141707351.0,134053983.0,131657829.0,118546545.0,131059815.0,123105377.0,131657829.0,131657829.0,136618061.0,117981445.0,131059815.0,123105377.0,123105377.0
131657829.0,123678810.0,130891871.0,131059815.0,119718003.0,118390888.0,131657829.0,131059815.0,131059815.0,119779403.0,131571978.0,120291433.0,131657829.0,131657829.0
139153512.0,134053983.0,118005855.0,118390888.0,122384499.0,120291433.0,131059815.0,118390888.0,118390888.0,118085708.0,141607201.0,139153512.0,131059815.0,131059815.0
120291433.0,130891871.0,124979300.0,139153512.0,120639604.0,139153512.0,118390888.0,120291433.0,120291433.0,117964880.0,118399295.0,124870763.0,118390888.0,118390888.0
124332140.0,118005855.0,131657829.0,121860206.0,146182262.0,121860206.0,120291433.0,139153512.0,139153512.0,118546512.0,129130817.0,121860206.0,120291433.0,120291433.0
123746412.0,123105377.0,124870763.0,118546543.0,128389239.0,118546543.0,139153512.0,124870763.0,124870763.0,118425684.0,118063436.0,118546543.0,139153512.0,139153512.0
118546543.0,124979300.0,124332140.0,124850288.0,122347640.0,124850288.0,124870763.0,121860206.0,121860206.0,118034517.0,120127828.0,124850288.0,124870763.0,124870763.0
124850288.0,131657829.0,123746412.0,118546545.0,128479353.0,118546545.0,121860206.0,118546543.0,118546543.0,135086166.0,137150822.0,118546545.0,121860206.0,121860206.0
118546545.0,131059815.0,118546543.0,119718003.0,118476922.0,119718003.0,118546543.0,124850288.0,124850288.0,127981656.0,123093354.0,119718003.0,118546543.0,118546543.0
122384499.0,139153512.0,124850288.0,122384499.0,131788922.0,122384499.0,124850288.0,118546545.0,118546545.0,123678810.0,121225595.0,122384499.0,124850288.0,124850288.0
123824245.0,120291433.0,118546545.0,120639604.0,125182077.0,120639604.0,118546545.0,119718003.0,119718003.0,134053983.0,120136068.0,120639604.0,118546545.0,118546545.0
118904949.0,124332140.0,119718003.0,128389239.0,131629184.0,146182262.0,119718003.0,122384499.0,122384499.0,130891871.0,120865160.0,146182262.0,119718003.0,119718003.0
140888186.0,123746412.0,122384499.0,122347640.0,118050944.0,128389239.0,122384499.0,120639604.0,120639604.0,118005855.0,128655758.0,118476922.0,122384499.0,122384499.0
118476922.0,118546543.0,123824245.0,128479353.0,120606852.0,122347640.0,120639604.0,146182262.0,146182262.0,138127457.0,121323927.0,131788922.0,120639604.0,120639604.0
125182077.0,118546545.0,118904949.0,118476922.0,137138310.0,128479353.0,146182262.0,128389239.0,128389239.0,124393570.0,127271322.0,121278589.0,146182262.0,146182262.0
121278589.0,122384499.0,140888186.0,131788922.0,117981322.0,118476922.0,128389239.0,122347640.0,122347640.0,124979300.0,118546844.0,131629184.0,128389239.0,128389239.0
131629184.0,118904949.0,125182077.0,125182077.0,135254161.0,131788922.0,122347640.0,128479353.0,128479353.0,131657829.0,129507751.0,118050944.0,122347640.0,122347640.0
118050944.0,122347640.0,121278589.0,121278589.0,129085590.0,125182077.0,128479353.0,118476922.0,118476922.0,131059815.0,121921959.0,120606852.0,128479353.0,118476922.0
118012035.0,118476922.0,131629184.0,131629184.0,125927575.0,121278589.0,118476922.0,131788922.0,131788922.0,118390888.0,125895079.0,127832197.0,118476922.0,131788922.0
137138310.0,125182077.0,118050944.0,118050944.0,124862623.0,131629184.0,131788922.0,125182077.0,125182077.0,124870763.0,118555074.0,137138310.0,131788922.0,125182077.0
117981322.0,131629184.0,118012035.0,127832197.0,139325600.0,118050944.0,125182077.0,121278589.0,121278589.0,124332140.0,118391249.0,117981322.0,125182077.0,121278589.0
118417547.0,137169024.0,120606852.0,117981322.0,120672418.0,120606852.0,121278589.0,131629184.0,131629184.0,123746412.0,140427730.0,135254161.0,121278589.0,131629184.0
125872267.0,118050944.0,117981322.0,125927575.0,128975011.0,127832197.0,131629184.0,118050944.0,118050944.0,121860206.0,142369246.0,125927575.0,131629184.0,118050944.0
135125142.0,118012035.0,118417547.0,139325600.0,119750822.0,137138310.0,118050944.0,120606852.0,120606852.0,118546543.0,118440430.0,124862623.0,118050944.0,120606852.0
125927575.0,120606852.0,125872267.0,120672418.0,136638632.0,117981322.0,120606852.0,127832197.0,127832197.0,124850288.0,146031094.0,139325600.0,120606852.0,127832197.0
125057182.0,137138310.0,129075339.0,128975011.0,139190442.0,129085590.0,127832197.0,137138310.0,137138310.0,118546545.0,137159166.0,120672418.0,127832197.0,137138310.0
139325600.0,117981322.0,128157836.0,136638632.0,127819947.0,125927575.0,137138310.0,117981322.0,117981322.0,119718003.0,118399491.0,119750822.0,137138310.0,117981322.0
146897056.0,125872267.0,135125142.0,139190442.0,117973164.0,124862623.0,117981322.0,135254161.0,135254161.0,122384499.0,118448644.0,136638632.0,117981322.0,135254161.0
118528163.0,128157836.0,125927575.0,127819947.0,127361196.0,139325600.0,129085590.0,129085590.0,129085590.0,120639604.0,133251600.0,139190442.0,135254161.0,129085590.0
134129830.0,128604303.0,125057182.0,117973164.0,121770160.0,120672418.0,125927575.0,125927575.0,125927575.0,146182262.0,139223594.0,127361196.0,129085590.0,125927575.0
126797992.0,135125142.0,139325600.0,127361196.0,117944497.0,119750822.0,124862623.0,124862623.0,124862623.0,128389239.0,142991915.0,117944497.0,125927575.0,139325600.0
125474984.0,125927575.0,146897056.0,117944497.0,124801203.0,136638632.0,139325600.0,139325600.0,139325600.0,118904949.0,118407727.0,141598899.0,124862623.0,120672418.0
139190442.0,120780955.0,118528163.0,141598899.0,126771381.0,139190442.0,120672418.0,120672418.0,120672418.0,128479353.0,137085493.0,142409911.0,139325600.0,128975011.0
132360364.0,146897056.0,134129830.0,124801203.0,142409911.0,127819947.0,128975011.0,128975011.0,128975011.0,140888186.0,139158072.0,118415544.0,128975011.0,119750822.0
126879917.0,120672418.0,129071270.0,142409911.0,118415544.0,117973164.0,119750822.0,119750822.0,119750822.0,118476922.0,132088385.0,121827517.0,119750822.0,136638632.0
117944497.0,119750822.0,126797992.0,118415544.0,117956799.0,127361196.0,139190442.0,136638632.0,136638632.0,131788922.0,120136265.0,120295619.0,136638632.0,139190442.0
142409911.0,134129830.0,125474984.0,121827517.0,120295619.0,121770160.0,127819947.0,139190442.0,139190442.0,125182077.0,130032210.0,119644356.0,127819947.0,127819947.0
124442812.0,139190442.0,139190442.0,120295619.0,119644356.0,117944497.0,117973164.0,127819947.0,127819947.0,121278589.0,133153369.0,121159878.0,117973164.0,117973164.0
121827517.0,132360364.0,132360364.0,119644356.0,121159878.0,141598899.0,127361196.0,117973164.0,117973164.0,125044863.0,141247065.0,141598919.0,121770160.0,127361196.0
120109245.0,126879917.0,126879917.0,121159878.0,134140103.0,124801203.0,121770160.0,127361196.0,127361196.0,131629184.0,134144616.0,134140103.0,117944497.0,121770160.0
120295619.0,140855472.0,121770160.0,141598919.0,141619401.0,126771381.0,117944497.0,121770160.0,121770160.0,118050944.0,146752105.0,141619401.0,141598899.0,117944497.0
121159878.0,117944497.0,117944497.0,134140103.0,128970955.0,142409911.0,141598899.0,117944497.0,117944497.0,118012035.0,128377450.0,128970955.0,124801203.0,141598899.0
134140103.0,142409911.0,142409911.0,141619401.0,140816589.0,118415544.0,124801203.0,141598899.0,141598899.0,120606852.0,119620209.0,140816589.0,126771381.0,124801203.0
120285385.0,124442812.0,132135095.0,128970955.0,118509775.0,121827517.0,126771381.0,124801203.0,124801203.0,137138310.0,124854901.0,118509775.0,142409911.0,126771381.0
141619401.0,120109245.0,124442812.0,140816589.0,145457367.0,117956799.0,142409911.0,126771381.0,126771381.0,126810248.0,117990009.0,145977553.0,118415544.0,142409911.0
128970955.0,138758334.0,121827517.0,118509775.0,127873243.0,120295619.0,118415544.0,142409911.0,142409911.0,117981322.0,118514302.0,138682580.0,121827517.0,118415544.0
140816589.0,120295619.0,120109245.0,145977553.0,132694239.0,119644356.0,121827517.0,118415544.0,118415544.0,118417547.0,120078975.0,145457367.0,117956799.0,121827517.0
122407119.0,121159878.0,120295619.0,138682580.0,141684962.0,121159878.0,117956799.0,121827517.0,121827517.0,125872267.0,121913982.0,143024345.0,120295619.0,117956799.0
118509775.0,141598919.0,119644356.0,145457367.0,120955107.0,141598919.0,120295619.0,117956799.0,117956799.0,128534668.0,137159303.0,132694239.0,119644356.0,120295619.0
145977553.0,120285385.0,141598919.0,143024345.0,121192676.0,134140103.0,121159878.0,120295619.0,120295619.0,128157836.0,136659599.0,141684962.0,121159878.0,119644356.0
124852436.0,141619401.0,146696391.0,127873243.0,118431979.0,141619401.0,141598919.0,119644356.0,119644356.0,139171996.0,118432413.0,120955107.0,141598919.0,121159878.0
129087701.0,128970955.0,120285385.0,132694239.0,118530284.0,128970955.0,134140103.0,121159878.0,121159878.0,125057182.0,124879523.0,121192676.0,134140103.0,141598919.0
124946646.0,122407119.0,134140103.0,141684962.0,118460653.0,140816589.0,141619401.0,141598919.0,141598919.0,124862623.0,121856676.0,118431979.0,141619401.0,134140103.0
145457367.0,118509775.0,141619401.0,120955107.0,132260081.0,118509775.0,128970955.0,134140103.0,134140103.0,146897056.0,134120107.0,118530284.0,128970955.0,141619401.0
138004695.0,145977553.0,128970955.0,121192676.0,137183473.0,145977553.0,140816589.0,141619401.0,141619401.0,120672418.0,125846193.0,118460653.0,140816589.0,128970955.0
143024345.0,138682580.0,140816589.0,118431979.0,128536827.0,138682580.0,118509775.0,128970955.0,128970955.0,128975011.0,136757943.0,135065840.0,118509775.0,140816589.0
129005786.0,124946646.0,122407119.0,118530284.0,118595837.0,145457367.0,145977553.0,140816589.0,140816589.0,127973538.0,118506202.0,132260081.0,145977553.0,118509775.0
129124574.0,145457367.0,118509775.0,118460653.0,123891966.0,143024345.0,138682580.0,118509775.0,118509775.0,118528163.0,118072038.0,137183473.0,138682580.0,145977553.0
121800926.0,138004695.0,145977553.0,135065840.0,120230144.0,127873243.0,145457367.0,145977553.0,145977553.0,119750822.0,128467688.0,128536827.0,145457367.0,138682580.0
141684962.0,143024345.0,129087701.0,132260081.0,124940547.0,132694239.0,143024345.0,138682580.0,138682580.0,134129830.0,125592299.0,118595837.0,143024345.0,145457367.0
121192676.0,131012825.0,124946646.0,137183473.0,119660804.0,141684962.0,127873243.0,145457367.0,145457367.0,125474984.0,118637299.0,123891966.0,127873243.0,143024345.0
118431979.0,129005786.0,145457367.0,128536827.0,117981445.0,120955107.0,132694239.0,143024345.0,143024345.0,117995690.0,132285173.0,120230144.0,132694239.0,127873243.0
118530284.0,129124574.0,138004695.0,118595837.0,125530372.0,121192676.0,141684962.0,127873243.0,127873243.0,127819947.0,135963383.0,124940547.0,141684962.0,132694239.0
120621293.0,121800926.0,143024345.0,123891966.0,127922454.0,118431979.0,120955107.0,141684962.0,132694239.0,117973164.0,130810622.0,119660804.0,121192676.0,141684962.0
118460653.0,130844896.0,131012825.0,120230144.0,120795415.0,118530284.0,121192676.0,120955107.0,141684962.0,127361196.0,118924038.0,125530372.0,118431979.0,120955107.0
132260081.0,121192676.0,129005786.0,124940547.0,120762648.0,118460653.0,118431979.0,121192676.0,120955107.0,132360364.0,119653130.0,127922454.0,118530284.0,121192676.0
137183473.0,118431979.0,121239773.0,119660804.0,141607201.0,135065840.0,118530284.0,118431979.0,121192676.0,126879917.0,130999052.0,120795415.0,118460653.0,118431979.0
118950129.0,118530284.0,121800926.0,117981445.0,126791970.0,132260081.0,118460653.0,118530284.0,118431979.0,140855472.0,136577805.0,120762648.0,135065840.0,118530284.0
125470962.0,118460653.0,130844896.0,125530372.0,121852196.0,137183473.0,135065840.0,118460653.0,118530284.0,117944497.0,120259350.0,141607201.0,132260081.0,118460653.0
143509748.0,135065840.0,141684962.0,131571978.0,120623401.0,128536827.0,132260081.0,135065840.0,118460653.0,138549244.0,120218392.0,126791970.0,137183473.0,135065840.0
137119995.0,132260081.0,121192676.0,127922454.0,119742766.0,118595837.0,137183473.0,132260081.0,135065840.0,124801203.0,118530842.0,121852196.0,128536827.0,132260081.0
128536827.0,137183473.0,118431979.0,120795415.0,139362607.0,123891966.0,126800116.0,137183473.0,132260081.0,131012790.0,125043485.0,120623401.0,123891966.0,137183473.0
124940547.0,118950129.0,118530284.0,120762648.0,125522226.0,120230144.0,128536827.0,126800116.0,137183473.0,132135095.0,132924214.0,119742766.0,120230144.0,126800116.0
125530372.0,143509748.0,120621293.0,141607201.0,135295283.0,124940547.0,118595837.0,128536827.0,126800116.0,118415544.0,133210936.0,135270702.0,124940547.0,128536827.0
118528259.0,125470962.0,118460653.0,126791970.0,120893752.0,119660804.0,123891966.0,118595837.0,128536827.0,134510777.0,125436736.0,125522226.0,119660804.0,118595837.0
120121609.0,145217786.0,135065840.0,120623401.0,124309821.0,117981445.0,120230144.0,123891966.0,118595837.0,124442812.0,124289865.0,135295283.0,125530372.0,123891966.0
126847242.0,137119995.0,132260081.0,119742766.0,118399295.0,125530372.0,124940547.0,120230144.0,123891966.0,121827517.0,118416202.0,142455096.0,131571978.0,120230144.0
120273164.0,128536827.0,137183473.0,139362607.0,129130817.0,131571978.0,119660804.0,124940547.0,120230144.0,120109245.0,142205769.0,124309821.0,127922454.0,124940547.0
118503696.0,118528259.0,118950129.0,135270702.0,130879809.0,127922454.0,117981445.0,119660804.0,124940547.0,117956799.0,132645708.0,118399295.0,120795415.0,119660804.0
120654100.0,120121609.0,125470962.0,125522226.0,144355651.0,120795415.0,125530372.0,117981445.0,119660804.0,120295619.0,119595862.0,129130817.0,120762648.0,117981445.0
117987604.0,126847242.0,143509748.0,135295283.0,118063436.0,120762648.0,131571978.0,125530372.0,117981445.0,119644356.0,124502898.0,130879809.0,141607201.0,125530372.0
127922454.0,120609034.0,128536827.0,120893752.0,119583059.0,141607201.0,127922454.0,131571978.0,125530372.0,121159878.0,119735165.0,144355651.0,126791970.0,131571978.0
133560598.0,118532366.0,118595837.0,142455096.0,120127828.0,126791970.0,120795415.0,127922454.0,131571978.0,146696391.0,134112129.0,133960008.0,121852196.0,127922454.0
120762648.0,118503696.0,123891966.0,118399295.0,132759895.0,120623401.0,120762648.0,120795415.0,127922454.0,120285385.0,135963525.0,118063436.0,120623401.0,120795415.0
139761943.0,127922454.0,120230144.0,129130817.0,125014361.0,139362607.0,141607201.0,120762648.0,120795415.0,128970955.0,118072199.0,119583059.0,119742766.0,120762648.0
127822107.0,133560598.0,124940547.0,130879809.0,140308825.0,135270702.0,126791970.0,141607201.0,120762648.0,133654733.0,120923028.0,120127828.0,139362607.0,141607201.0
124856608.0,120762648.0,125530372.0,144355651.0,126042462.0,135295283.0,121852196.0,126791970.0,141607201.0,140816589.0,129033117.0,132759895.0,135270702.0,126791970.0
141607201.0,139761943.0,118528259.0,118964551.0,119697767.0,120893752.0,120623401.0,121852196.0,126791970.0,122407119.0,118039455.0,125014361.0,125522226.0,121852196.0
139823394.0,133986586.0,120121609.0,133960008.0,123093354.0,142455096.0,119742766.0,120623401.0,121852196.0,118509775.0,126935981.0,140308825.0,135295283.0,120623401.0
