20220420_CWB_NB_queijos_W16,20220420_CWB_NB_arroz_W16,20220420_CWB_NB_aucaradoantesedoces_W16,20220420_CWB_NB_farinhasemisturas_W16
112247204.0,134443487.0,114147816.0,135258558.0
109306277.0,124252640.0,138613229.0,111772097.0
138494375.0,116117986.0,128958960.0,123789765.0
117420457.0,114033125.0,138523120.0,124375494.0
116068779.0,116376038.0,121180659.0,126382536.0
134578608.0,145531367.0,135873014.0,135037387.0
128577969.0,114147816.0,135999990.0,109834702.0
134566323.0,138613229.0,138506751.0,138101206.0
130314677.0,138523120.0,113000968.0,146084314.0
135258558.0,121180659.0,123019786.0,134443487.0
111772097.0,135873014.0,132088329.0,116117986.0
123789765.0,135999990.0,135004681.0,114033125.0
124375494.0,138506751.0,134562314.0,116376038.0
126382536.0,113000968.0,141623821.0,145531367.0
135037387.0,113017352.0,143610378.0,138613229.0
109834702.0,123019786.0,127414798.0,138523120.0
136004051.0,132088329.0,121164305.0,121180659.0
138101206.0,135004681.0,112804380.0,135873014.0
118362586.0,134562314.0,145191453.0,135999990.0
146084314.0,141623821.0,126702119.0,138506751.0
134443487.0,143610378.0,124338729.0,113000968.0
124252640.0,127414798.0,117367338.0,113017352.0
116117986.0,121164305.0,110567986.0,123019786.0
114033125.0,112804380.0,116474423.0,132088329.0
116376038.0,145191453.0,138039864.0,134562314.0
145531367.0,126702119.0,132252217.0,141623821.0
138613229.0,124338729.0,145400379.0,143610378.0
128958960.0,117367338.0,110367300.0,127414798.0
138523120.0,117928493.0,132174406.0,121164305.0
121180659.0,110567986.0,139735622.0,112804380.0
135873014.0,116474423.0,116343370.0,145191453.0
135999990.0,145400379.0,128418379.0,120758820.0
138506751.0,110367300.0,142254669.0,126702119.0
113000968.0,132174406.0,124346961.0,124338729.0
123019786.0,139735622.0,142217811.0,117367338.0
132088329.0,116343370.0,117895768.0,117928493.0
135004681.0,142254669.0,126747225.0,110567986.0
134562314.0,124346961.0,115589722.0,116474423.0
141623821.0,136176209.0,124379747.0,132252217.0
143610378.0,142217811.0,133972583.0,145400379.0
121164305.0,115589722.0,114143852.0,110367300.0
112804380.0,124379747.0,146219630.0,132174406.0
145191453.0,133972583.0,111714928.0,139735622.0
120758820.0,136671851.0,134541939.0,116343370.0
126702119.0,139190892.0,117277300.0,128418379.0
124338729.0,114143852.0,123732596.0,142254669.0
117367338.0,146219630.0,124412541.0,124346961.0
117928493.0,111714928.0,143663744.0,136176209.0
115368494.0,134541939.0,116114050.0,142217811.0
110567986.0,117277300.0,115561090.0,117895768.0
116474423.0,123732596.0,135303810.0,115589722.0
138039864.0,124412541.0,127197833.0,124379747.0
145400379.0,143663744.0,138584715.0,136671851.0
110367300.0,115561090.0,142410390.0,139190892.0
132174406.0,135303810.0,142455448.0,114143852.0
139735622.0,127197833.0,145121946.0,146219630.0
116343370.0,138584715.0,116822686.0,111714928.0
128418379.0,142455448.0,117842592.0,134541939.0
142254669.0,145121946.0,142226080.0,117277300.0
124346961.0,116822686.0,112317093.0,123732596.0
136176209.0,117842592.0,123695792.0,124412541.0
142217811.0,112317093.0,112927409.0,143663744.0
126747225.0,141566636.0,136680120.0,116114050.0
115589722.0,112927409.0,134582971.0,115561090.0
124379747.0,113676988.0,113676988.0,135303810.0
133972583.0,111796925.0,111796925.0,127197833.0
136671851.0,113398462.0,113398462.0,138584715.0
139190892.0,138506947.0,110371528.0,142410390.0
114143852.0,128525004.0,146068201.0,142455448.0
111714928.0,146068201.0,139449068.0,145121946.0
134541939.0,139834092.0,139834092.0,116822686.0
117277300.0,139240180.0,138703600.0,142226080.0
123732596.0,143569652.0,130237172.0,112317093.0
124412541.0,115340022.0,139240180.0,141566636.0
143663744.0,133956348.0,143569652.0,112927409.0
116114050.0,116663040.0,115340022.0,134582971.0
115561090.0,145928966.0,133956348.0,113676988.0
135303810.0,111735559.0,116663040.0,111796925.0
127197833.0,124793608.0,145928966.0,113398462.0
138584715.0,124334857.0,111735559.0,138506947.0
142410390.0,112407307.0,124793608.0,110371528.0
142455448.0,140342043.0,124334857.0,146068201.0
145121946.0,124224284.0,110535436.0,139834092.0
116822686.0,138048288.0,145326863.0,138703600.0
117842592.0,135017251.0,140342043.0,130237172.0
142226080.0,142926629.0,110572318.0,139240180.0
112317093.0,145969966.0,138048288.0,143569652.0
141566636.0,134034223.0,135017251.0,115340022.0
123695792.0,143090481.0,114045741.0,133956348.0
112927409.0,125469491.0,145969966.0,116663040.0
136680120.0,129479476.0,134034223.0,145928966.0
134582971.0,116392758.0,143090481.0,111735559.0
113676988.0,124363574.0,125469491.0,124793608.0
111796925.0,134472504.0,129479476.0,124334857.0
113398462.0,123630394.0,116392758.0,112407307.0
138506947.0,134099774.0,124363574.0,110535436.0
110371528.0,123171647.0,134472504.0,145326863.0
128525004.0,116577088.0,116716343.0,140342043.0
128352978.0,134656834.0,123630394.0,110572318.0
146068201.0,145036103.0,134099774.0,138048288.0
139834092.0,118465352.0,123171647.0,135017251.0
138703600.0,123806536.0,145036103.0,142926629.0
130237172.0,117306186.0,118465352.0,114045741.0
139240180.0,140333911.0,123806536.0,145969966.0
143569652.0,136577883.0,117306186.0,134034223.0
115340022.0,138634079.0,140333911.0,143090481.0
133956348.0,131441504.0,138634079.0,125469491.0
116663040.0,129098593.0,131441504.0,129479476.0
145928966.0,139293537.0,129098593.0,116392758.0
111735559.0,116134754.0,139293537.0,124363574.0
124793608.0,135095141.0,116134754.0,134472504.0
124334857.0,121230182.0,121230182.0,123630394.0
112407307.0,135258983.0,135258983.0,134099774.0
110535436.0,116663145.0,127374185.0,123171647.0
145326863.0,127374185.0,139260779.0,116577088.0
140342043.0,139260779.0,123138927.0,134656834.0
124224284.0,120845174.0,120845174.0,145036103.0
110572318.0,124330874.0,124330874.0,118465352.0
138048288.0,115512194.0,115512194.0,123806536.0
135017251.0,117306247.0,117306247.0,117306186.0
142926629.0,117797777.0,127329162.0,140333911.0
114045741.0,143000472.0,143000472.0,136577883.0
145969966.0,139228061.0,139228061.0,138634079.0
134034223.0,143184798.0,135246756.0,131441504.0
143090481.0,135246756.0,109822890.0,129098593.0
125469491.0,109822890.0,145367985.0,139293537.0
129479476.0,145367985.0,132273075.0,116134754.0
116392758.0,132273075.0,132006837.0,135095141.0
124363574.0,115995572.0,128988085.0,121230182.0
134472504.0,132006837.0,111629238.0,135258983.0
116716343.0,128988085.0,127939513.0,116663145.0
123630394.0,111629238.0,115528634.0,127374185.0
134099774.0,127939513.0,141714364.0,139260779.0
123171647.0,115528634.0,115467200.0,123138927.0
116577088.0,141714364.0,141738944.0,120845174.0
134656834.0,142369726.0,128553924.0,124330874.0
118465352.0,128553924.0,139088850.0,115512194.0
123806536.0,139088850.0,139662291.0,117306247.0
140333911.0,139662291.0,138519508.0,127329162.0
136577883.0,138519508.0,123151317.0,117797777.0
138634079.0,123151317.0,138646484.0,143000472.0
131441504.0,138646484.0,143102931.0,139228061.0
