20220420_CWB_NB_tuberculos_W16,20220420_CWB_NB_verduras_W16,20220420_CWB_NB_frutas_W16,20220420_CWB_NB_legumes_W16,20220420_CWB_NB_leite_W16,20220420_CWB_NB_ovos_W16,20220420_CWB_NB_detergentesabaoelava-louas_W16,20220420_CWB_NB_feijao_W16
140303916.0,139994201.0,142451813.0,142182686.0,143600704.0,145290307.0,142178375.0,142920780.0
140205101.0,143140956.0,140229735.0,139282074.0,145290307.0,142178375.0,142920780.0,139083853.0
143646255.0,138117213.0,146219630.0,141858336.0,142178375.0,142920780.0,140263502.0,140263502.0
139775544.0,140236381.0,145264755.0,141824162.0,140263502.0,139083853.0,134022221.0,134022221.0
145400379.0,142979167.0,135917175.0,140518567.0,134022221.0,140263502.0,140253270.0,140253270.0
138223163.0,142451813.0,143138435.0,143961002.0,140253270.0,134022221.0,139994201.0,139994201.0
139651136.0,143076968.0,138854533.0,140303916.0,139994201.0,140253270.0,138117213.0,143140956.0
141717063.0,146219630.0,146036368.0,143056173.0,138117213.0,139994201.0,140325988.0,138117213.0
142409291.0,141875831.0,143613078.0,144307886.0,142979167.0,143140956.0,142451813.0,142979167.0
142920780.0,143024247.0,141824162.0,143568815.0,140325988.0,138117213.0,140229735.0,140325988.0
139083853.0,135917175.0,140518567.0,145367985.0,142451813.0,142979167.0,139851882.0,142451813.0
142254669.0,142458494.0,144307886.0,142969778.0,140229735.0,140325988.0,139724906.0,139724906.0
134022221.0,143663744.0,141837490.0,141837490.0,139851882.0,142451813.0,145264755.0,145248362.0
142217811.0,142970498.0,141702324.0,139090231.0,139724906.0,140229735.0,143024247.0,142208108.0
141811284.0,143138435.0,145159354.0,143126457.0,145248362.0,139851882.0,141585529.0,143024247.0
140352085.0,143497862.0,145217212.0,145400379.0,142208108.0,139724906.0,146121850.0,146121850.0
140253270.0,142949518.0,143575229.0,138223163.0,145264755.0,145248362.0,134609026.0,134609026.0
139994201.0,143619221.0,143731902.0,143575229.0,143024247.0,142208108.0,138854533.0,138854533.0
143521370.0,142410390.0,143499464.0,142369726.0,141585529.0,145264755.0,140229777.0,142521489.0
143140956.0,143613078.0,146068201.0,143731902.0,134609026.0,143024247.0,142521489.0,143619221.0
138117213.0,142290071.0,139834092.0,139988927.0,138854533.0,146121850.0,143619221.0,142290071.0
140236381.0,140389017.0,145999601.0,135232323.0,142949518.0,134609026.0,143613078.0,143213723.0
142979167.0,146058901.0,143569652.0,124375494.0,140229777.0,138854533.0,142290071.0,141601948.0
142451813.0,139282074.0,142214907.0,145036103.0,142521489.0,142949518.0,143549593.0,143075487.0
140229735.0,141601948.0,137352446.0,135319368.0,143613078.0,142521489.0,143213723.0,141824162.0
139724906.0,141824162.0,145860867.0,139083853.0,142290071.0,143619221.0,141601948.0,143008932.0
146219630.0,145884325.0,142465796.0,140263502.0,143549593.0,143613078.0,143075487.0,145884325.0
145264755.0,140518567.0,143531272.0,134022221.0,143213723.0,143549593.0,141738145.0,140518567.0
141875831.0,144307886.0,145185038.0,141606095.0,141601948.0,143213723.0,141824162.0,141574315.0
135917175.0,141702324.0,145326863.0,145861073.0,141738145.0,141601948.0,143008932.0,146042028.0
146121850.0,143575229.0,139285785.0,142217811.0,143008932.0,143075487.0,139340966.0,145834162.0
141568635.0,143731902.0,142182686.0,142334933.0,145884325.0,141738145.0,140518567.0,141837490.0
141667962.0,141606095.0,142926629.0,140253270.0,139340966.0,141824162.0,141574315.0,143013042.0
142458494.0,146205912.0,140246317.0,140333911.0,141574315.0,143008932.0,146042028.0,141702324.0
143663744.0,146053849.0,145969966.0,139994201.0,146042028.0,145884325.0,145834162.0,145159354.0
134609026.0,138706142.0,139090231.0,141608793.0,143013042.0,139340966.0,141837490.0,143575229.0
143138435.0,142999265.0,145434429.0,138117213.0,141702324.0,140518567.0,143013042.0,143731902.0
143497862.0,145248487.0,145036103.0,142951774.0,145159354.0,141574315.0,141702324.0,141750469.0
142949518.0,146068201.0,135319368.0,140236381.0,143731902.0,146042028.0,145159354.0,143499464.0
146036368.0,146184938.0,141776713.0,141646310.0,141750469.0,145834162.0,143731902.0,141606095.0
142521489.0,139834092.0,139120972.0,145531367.0,143499464.0,141837490.0,141750469.0,139249878.0
146058901.0,145999601.0,145139543.0,143172584.0,141606095.0,143013042.0,143499464.0,146205912.0
143613078.0,139240180.0,142951774.0,146068201.0,139249878.0,141702324.0,139249878.0,142353627.0
142455448.0,143569652.0,140319082.0,139724906.0,146205912.0,145159354.0,146205912.0,138706142.0
143549593.0,142438647.0,145873774.0,143680489.0,142353627.0,143575229.0,142353627.0,140441824.0
145121946.0,137352446.0,142966127.0,139834092.0,139786461.0,143731902.0,139786461.0,142223586.0
139282074.0,142465796.0,140402038.0,143574507.0,138706142.0,141606095.0,138706142.0,139914475.0
141601948.0,145928966.0,145285002.0,146219630.0,140441824.0,139249878.0,140441824.0,141689086.0
141738145.0,143121670.0,132030348.0,145873774.0,142223586.0,146205912.0,142223586.0,137352446.0
141824162.0,143531272.0,143536015.0,138523120.0,139914475.0,142353627.0,139914475.0,143121670.0
145884325.0,138566415.0,143568815.0,142966127.0,142438647.0,139786461.0,142438647.0,143528209.0
140518567.0,145326863.0,142969778.0,143601007.0,141689086.0,138706142.0,141689086.0,139285785.0
146042028.0,145025302.0,143126457.0,140373361.0,137352446.0,142223586.0,145860867.0,145863964.0
144307886.0,139285785.0,142369726.0,145841650.0,145860867.0,145248487.0,143531272.0,142448938.0
143013042.0,145863964.0,124375494.0,145999601.0,143121670.0,139914475.0,145185038.0,140246317.0
141702324.0,142926629.0,145861073.0,140402038.0,143531272.0,142438647.0,143528209.0,143056173.0
145159354.0,143090481.0,145095639.0,146121850.0,143528209.0,141689086.0,145025302.0,143625520.0
143575229.0,139090231.0,143162328.0,143091069.0,145025302.0,137352446.0,139285785.0,138675506.0
145128126.0,145434429.0,141596119.0,137352446.0,139285785.0,145860867.0,142448938.0,139090231.0
143731902.0,145036103.0,143634391.0,,145863964.0,143121670.0,140246317.0,146153809.0
141750469.0,135319368.0,145531367.0,,142448938.0,143531272.0,143056173.0,118515027.0
143499464.0,145139543.0,139657193.0,,140246317.0,145185038.0,139090231.0,136570199.0
141606095.0,141608793.0,143574507.0,,143056173.0,143528209.0,139783482.0,142456155.0
146205912.0,142951774.0,,,143625520.0,145025302.0,145160512.0,142951774.0
146053849.0,145873774.0,,,138675506.0,139285785.0,139120972.0,140319082.0
140441824.0,142966127.0,,,140294452.0,145863964.0,118515027.0,143519086.0
142950118.0,140373361.0,,,139090231.0,142182686.0,136570199.0,142966127.0
146068201.0,141602676.0,,,139783482.0,142448938.0,142456155.0,140373361.0
146184938.0,139887990.0,,,145160512.0,143056173.0,140245341.0,139887990.0
140373739.0,140402038.0,,,139120972.0,138675506.0,143519086.0,140402038.0
139834092.0,143091069.0,,,146153809.0,140294452.0,142966127.0,143046042.0
145999601.0,139101573.0,,,118515027.0,139090231.0,143601007.0,141600156.0
143569652.0,132030348.0,,,136570199.0,145160512.0,140373361.0,142355872.0
142214907.0,143585687.0,,,142456155.0,139120972.0,139887990.0,139351461.0
137352446.0,143046042.0,,,140319082.0,146153809.0,140402038.0,143175079.0
141768449.0,139228061.0,,,143519086.0,118515027.0,143091069.0,139713972.0
142465796.0,135002017.0,,,142966127.0,136570199.0,139101573.0,141819316.0
143121670.0,143961002.0,,,143601007.0,140245341.0,143046042.0,139685311.0
143531272.0,143568815.0,,,140373361.0,142951774.0,142355872.0,124375494.0
142221064.0,145367985.0,,,139887990.0,140319082.0,143503779.0,142277068.0
145185038.0,142969778.0,,,140402038.0,143519086.0,140351918.0,141596119.0
138566415.0,141819316.0,,,143585687.0,142966127.0,139713972.0,146084314.0
139285785.0,143126457.0,,,143046042.0,143601007.0,141819316.0,143007197.0
142182686.0,142369726.0,,,141600156.0,140373361.0,139685311.0,141646310.0
141825825.0,139988927.0,,,142355872.0,139887990.0,124375494.0,145531367.0
142232356.0,141738944.0,,,139351461.0,140402038.0,142277068.0,143574507.0
142448938.0,124375494.0,,,143175079.0,143091069.0,145861073.0,138523120.0
140246317.0,145861073.0,,,140351918.0,139101573.0,141596119.0,145841650.0
136882990.0,142334933.0,,,139713972.0,143585687.0,146084314.0,145352179.0
143056173.0,141596119.0,,,141819316.0,143046042.0,143007197.0,121226748.0
