20220325_CWB_NB_tuberculos_W12,20220325_CWB_NB_verduras_W12,20220325_CWB_NB_frutas_W12,20220325_CWB_NB_legumes_W12,20220325_CWB_NB_leite_W12,20220325_CWB_NB_ovos_W12,20220325_CWB_NB_detergentesabaoelava-louas_W12,20220325_CWB_NB_feijao_W12
121899345.0,121899345.0,110455953.0,123768968.0,117928251.0,115468504.0,125464879.0,116572513.0
116572513.0,116572513.0,112953495.0,127197833.0,118460742.0,121190619.0,124236089.0,110354798.0
109828475.0,127310201.0,109255323.0,111635086.0,123572552.0,117330142.0,115343674.0,109828475.0
131410304.0,109828475.0,117807772.0,112953495.0,116377929.0,114131171.0,117928251.0,131410304.0
128481668.0,131410304.0,115536029.0,123072664.0,126812496.0,115353830.0,117416252.0,128481668.0
123146638.0,128481668.0,116624029.0,127161497.0,116572513.0,116467948.0,124922175.0,123146638.0
113043854.0,123146638.0,116822686.0,109255323.0,127310201.0,125434095.0,118528322.0,113043854.0
115487120.0,113043854.0,128973983.0,117807772.0,109828475.0,115357936.0,125368643.0,127181198.0
127181198.0,115487120.0,116032673.0,115536029.0,131410304.0,118352116.0,118460742.0,123097495.0
123097495.0,127181198.0,111698087.0,124795038.0,115466638.0,117297399.0,123572552.0,112247204.0
109306277.0,123097495.0,118488235.0,116624029.0,120619407.0,123601144.0,116377929.0,109306277.0
116189605.0,127377820.0,114106030.0,116032673.0,113043854.0,123629822.0,126812496.0,116189605.0
112376232.0,109306277.0,127210672.0,111698087.0,123146638.0,120672511.0,116572513.0,112376232.0
114166207.0,116189605.0,127273140.0,112980136.0,115487120.0,117842177.0,110354798.0,116068779.0
110578116.0,112376232.0,120580280.0,117474472.0,123097495.0,116025601.0,127310201.0,114166207.0
123789765.0,116068779.0,117370554.0,118488235.0,109306277.0,123681037.0,109828475.0,110578116.0
112880074.0,114166207.0,113398462.0,114106030.0,116189605.0,128973076.0,131410304.0,123789765.0
127392202.0,123789765.0,118440132.0,127210672.0,112376232.0,132167957.0,128481668.0,112880074.0
125065679.0,126382536.0,125351108.0,115496957.0,116068779.0,111726870.0,115466638.0,127392202.0
128965077.0,112880074.0,117991109.0,120580280.0,114166207.0,127893782.0,120619407.0,128965077.0
112282078.0,128965077.0,109840071.0,117370554.0,111772097.0,116732187.0,115487120.0,112282078.0
116009439.0,112282078.0,126708937.0,113676988.0,117287363.0,117825832.0,123146638.0,124307935.0
124252640.0,116009439.0,116100298.0,113398462.0,110578116.0,125464879.0,113043854.0,124252640.0
124307935.0,124252640.0,113023700.0,118440132.0,126382536.0,124236089.0,123097495.0,116117986.0
116117986.0,124307935.0,117982422.0,117991109.0,112880074.0,115343674.0,127377820.0,116376038.0
114033125.0,116117986.0,117996759.0,109840071.0,109834702.0,117928251.0,109306277.0,128027115.0
124393958.0,128027115.0,124992221.0,116100298.0,112282078.0,124922175.0,116189605.0,125364718.0
128027115.0,118041074.0,117406431.0,128525004.0,116117986.0,110510401.0,112376232.0,118041074.0
118041074.0,118409721.0,110513375.0,113023700.0,114033125.0,117266754.0,116068779.0,121180659.0
121180659.0,113000968.0,111762656.0,121854679.0,116376038.0,115583299.0,114166207.0,118409721.0
118409721.0,113017352.0,110491360.0,117996759.0,114147816.0,125368643.0,111772097.0,113017352.0
113017352.0,123019786.0,114131171.0,110513375.0,117373418.0,118528322.0,110578116.0,117484042.0
