20220325_CWB_NB_frango_W12,20220325_CWB_NB_suinos_W12
125490275,125490275
127937631,127937631
109892709,109892709
117820517,117820517
123173996,123173996
117951597,117951597
109290609,109290609
120689777,120689777
111721588,111721588
124275832,124275832
123753595,123753595
131982459,131982459
115405960,115405960
123200650,123200650
114162828,114162828
110455953,110455953
115524760,115524760
127161497,127161497
128973983,128973983
116032673,116032673
125496482,125496482
117474472,117474472
121160873,121160873
118488235,118488235
127210672,127210672
124253363,124253363
124939443,124939443
123116727,123116727
117402808,117402808
123708602,123708602
117255355,117255355
125584575,125584575
115432644,115432644
125351108,125351108
126708937,126708937
116100298,116100298
115340492,115340492
117902546,117902546
113560787,113560787
117982422,117982422
117996759,117996759
116554971,116554971
127802587,127802587
110513375,110513375
111762656,111762656
121277670,121277670
132150502,132150502
120636649,120636649
123700462,123700462
125598958,125598958
131011826,131011826
111645940,111645940
124421364,124421364
118465783,118465783
110482682,110482682
121748733,121748733
121736445,121736445
127907073,127907073
115477762,115477762
111619334,111619334
115496203,115496203
115463439,115463439
109821203,109821203
118492437,118492437
113050902,113050902
117267734,117267734
112799011,112799011
125443369,125443369
110513450,110513450
129054000,129054000
124241209,124241209
124376377,124376377
123198785,123198785
127759682,127759682
121851203,121851203
125373764,125373764
120573253,120573253
121832771,121832771
131525955,131525955
125353296,125353296
130241874,130241874
121314654,121314654
128488799,128488799
127221093,127221093
109868397,109868397
115404142,115404142
124210543,124210543
111711601,111711601
124255603,124255603
124317045,124317045
124419447,124419447
128398713,128398713
124370302,124370302
109823370,109823370
110486926,110486926
127923604,127923604
120616344,120616344
124880282,124880282
109317532,109317532
116266406,116266406
120733096,120733096
130350514,130350514
123233715,123233715
130387384,130387384
117319102,117319102
117245381,117245381
130788806,130788806
115553737,115553737
128560585,128560585
116075980,116075980
110388691,110388691
110353876,110353876
126653912,126653912
127784409,127784409
132060636,132060636
120708577,120708577
110495203,110495203
124417509,124417509
112977382,112977382
125353447,125353447
120630761,120630761
113642989,113642989
125341165,125341165
130893297,130893297
131429877,131429877
124882427,124882427
110460412,110460412
127919612,127919612
115336703,115336703
109323778,109323778
116069891,116069891
118560258,118560258
127784454,127784454
121716238,121716238
115502612,115502612
110571031,110571031
128960029,128960029
116080163,116080163
117440035,117440035
112934437,112934437
109880871,109880871
118464040,118464040
117993001,117993001
111844912,111844912
123264565,123264565
112346681,112346681
125865534,125865534
127211071,127211071
127360574,127360574
120749634,120749634
121849413,121849413
124206661,124206661
116530764,116530764
127786575,127786575
120798818,120798818
109280871,109280871
122644071,122644071
128370283,128370283
115519093,115519093
120673915,120673915
110515836,110515836
117395070,117395070
109848195,109848195
110511749,110511749
128538249,128538249
128384650,128384650
111867534,111867534
110587542,110587542
123199127,123199127
127985304,127985304
121722527,121722527
116080289,116080289
127198882,127198882
117462694,117462694
111095466,111095466
114106030,114106030
114144950,114144950
117370554,117370554
117991109,117991109
124319429,124319429
109840071,109840071
121136839,121136839
109301455,109301455
128478929,128478929
127340246,127340246
121226972,121226972
110491360,110491360
115607268,115607268
113573607,113573607
112815849,112815849
116643563,116643563
114028267,114028267
115558128,115558128
112488190,112488190
110538498,110538498
112236290,112236290
115357443,115357443
116029189,116029189
122652422,122652422
125388547,125388547
130369288,130369288
111832842,111832842
113663757,113663757
118466322,118466322
121927442,121927442
125351698,125351698
113624854,113624854
121863961,121863961
117321498,117321498
112224027,112224027
118495003,118495003
117233434,117233434
124362526,124362526
125359897,125359897
127375137,127375137
126732066,126732066
123651877,123651877
116340519,116340519
110380840,110380840
116010794,116010794
124337965,124337965
123746096,123746096
123828017,123828017
125468468,125468468
50562870,50562870
117524281,117524281
115386172,115386172
127905598,127905598
115527487,115527487
127805251,127805251
114077508,114077508
123184965,123184965
109256518,109256518
127354692,127354692
118374218,118374218
116318030,116318030
109817681,109817681
117364561,117364561
127436631,127436631
115533662,115533662
120715102,120715102
111753056,111753056
123230049,123230049
132241249,132241249
127199077,127199077
110530410,110530410
117817194,117817194
117915499,117915499
125423466,125423466
128595818,128595818
121147247,121147247
130432879,130432879
117438322,117438322
124778354,124778354
126623602,126623602
112383859,112383859
129101686,129101686
110505848,110505848
125519736,125519736
127963007,127963007
112363392,112363392
123582337,123582337
126650246,126650246
127944583,127944583
112873352,112873352
117366669,117366669
118478733,118478733
111638415,111638415
117888918,117888918
121749404,121749404
126074780,126074780
123066271,123066271
112940962,112940962
127236002,127236002
116428706,116428706
124360614,124360614
125366183,125366183
112306093,112306093
110374831,110374831
128415663,128415663
111628211,111628211
128403380,128403380
123144125,123144125
118042560,118042560
130357184,130357184
127911874,127911874
109266883,109266883
123717573,123717573
128374725,128374725
112947144,112947144
124250061,124250061
117860309,117860309
115451876,115451876
116551655,116551655
123588604,123588604
115496957,115496957
