20220325_CWB_NB_bebidas,20220325_CWB_NB_laticinioseovos,20220325_CWB_NB_limpezaehigiene,20220325_CWB_NB_descartaveis
112224027.0,112407307.0,113023700.0,124379747.0
110572318.0,110535436.0,121854679.0,114143852.0
118495003.0,115411725.0,117406431.0,112376431.0
117233434.0,114125583.0,109841138.0,111714928.0
124362526.0,114045741.0,115340022.0,112323200.0
125359897.0,127376173.0,117299963.0,124971649.0
126732066.0,125469491.0,124334857.0,116114050.0
127965988.0,113994548.0,115411725.0,115561090.0
117825832.0,129479476.0,124224284.0,124828296.0
110380840.0,116392758.0,110572318.0,116042380.0
110513450.0,124363574.0,114045741.0,111635086.0
116010794.0,123630394.0,127200045.0,121838224.0
124337965.0,111758140.0,127376173.0,109255323.0
125464879.0,118471486.0,125469491.0,117807772.0
129479476.0,118465352.0,129479476.0,116624029.0
124363574.0,123806536.0,116392758.0,117842592.0
117928251.0,110381907.0,128600887.0,118536868.0
111758140.0,113077081.0,123630394.0,112317093.0
127905598.0,116005724.0,111758140.0,121363108.0
123198785.0,115510110.0,118471486.0,123695792.0
127759682.0,131441504.0,123177798.0,112927409.0
125368643.0,125037411.0,118465352.0,116087483.0
127805251.0,110537574.0,123806536.0,113398462.0
114077508.0,123138927.0,110381907.0,111639237.0
118465352.0,121809787.0,113077081.0,110371528.0
118374218.0,120707964.0,116005724.0,118557388.0
109817681.0,115512194.0,115510110.0,115473103.0
121314654.0,116726671.0,115526496.0,126761679.0
128488799.0,125451152.0,131441504.0,121707218.0
111753056.0,129112977.0,116083554.0,113023700.0
132241249.0,110476193.0,125037411.0,121854679.0
116134754.0,109822890.0,110537574.0,117406431.0
127199077.0,115995572.0,116663145.0,109841138.0
110537574.0,116081588.0,124330874.0,115340022.0
121230182.0,128988085.0,121809787.0,117299963.0
128595818.0,132006837.0,120707964.0,116663040.0
117915499.0,127939513.0,124939135.0,125516547.0
109868397.0,115528634.0,115512194.0,111735559.0
130432879.0,128553924.0,116726671.0,124334857.0
126623602.0,123657159.0,125451152.0,110535436.0
112383859.0,123151317.0,117797777.0,115411725.0
129101686.0,118428631.0,129112977.0,114125583.0
110505848.0,118436845.0,117246889.0,124224284.0
127310201.0,127996911.0,109822890.0,110572318.0
128398713.0,109847539.0,115995572.0,127965988.0
109828475.0,121164787.0,116081588.0,114045741.0
123582337.0,117320704.0,132006837.0,127200045.0
115512194.0,127288322.0,127939513.0,113994548.0
117306247.0,112358404.0,115467200.0,129479476.0
109823370.0,110457863.0,128553924.0,116392758.0
110486926.0,115385356.0,123657159.0,124363574.0
