20220407_MDE_NB_bebidassinalcohol_W14,20220407_MDE_NB_vasos_W14,20220407_MDE_NB_cubiertosypitillos_W14,20220407_MDE_NB_contenedores_W14,20220407_MDE_NB_platosybandejas_W14,20220407_MDE_NB_empaqueyenvoltura_W14,20220407_MDE_NB_verduras_W14,20220407_MDE_NB_frutas_W14,20220407_MDE_NB_tuberculos_W14,20220407_MDE_NB_huevos_W14,20220407_MDE_NB_leches_W14,20220407_MDE_NB_cremas_W14,20220407_MDE_NB_derivadoslacteos_W14
121860206.0,124332140.0,120639604.0,121278589.0,119718003.0,122384499.0,121827517.0,118904949.0,135125142.0,122384499.0,120639604.0,119718003.0,119718003.0
118546543.0,123746412.0,128389239.0,131629184.0,122384499.0,128389239.0,121159878.0,118476922.0,125927575.0,123824245.0,128389239.0,122384499.0,122384499.0
124850288.0,121860206.0,122347640.0,118050944.0,120639604.0,122347640.0,134140103.0,125182077.0,125057182.0,122347640.0,128479353.0,120639604.0,120639604.0
119718003.0,118546543.0,128479353.0,127832197.0,128389239.0,128479353.0,128970955.0,121278589.0,118528163.0,118476922.0,118476922.0,128389239.0,128389239.0
122384499.0,124850288.0,118476922.0,117981322.0,122347640.0,118476922.0,122407119.0,137169024.0,134129830.0,125182077.0,125182077.0,122347640.0,122347640.0
120639604.0,119718003.0,125182077.0,125927575.0,128479353.0,125182077.0,138004695.0,118050944.0,129071270.0,125044863.0,121278589.0,128479353.0,118476922.0
118904949.0,122384499.0,121278589.0,120672418.0,118476922.0,121278589.0,129005786.0,117981322.0,126797992.0,137169024.0,131629184.0,118476922.0,125182077.0
128389239.0,123824245.0,131629184.0,128975011.0,125182077.0,131629184.0,129124574.0,125872267.0,125474984.0,118050944.0,118050944.0,121278589.0,121278589.0
118476922.0,120639604.0,118050944.0,128389287.0,121278589.0,118050944.0,130844896.0,129075339.0,132360364.0,120606852.0,120606852.0,131629184.0,131629184.0
125182077.0,128389239.0,120606852.0,136638632.0,131629184.0,120606852.0,132260081.0,128157836.0,126879917.0,127832197.0,127832197.0,118050944.0,118050944.0
131629184.0,122347640.0,127832197.0,127819947.0,118050944.0,127832197.0,125470962.0,128604303.0,121770160.0,117981322.0,117981322.0,120606852.0,120606852.0
120606852.0,118904949.0,117981322.0,127361196.0,120606852.0,117981322.0,128536827.0,135125142.0,132135095.0,129075339.0,135254161.0,127832197.0,127832197.0
117981322.0,118476922.0,129085590.0,117973164.0,127832197.0,135254161.0,120121609.0,125927575.0,121827517.0,134695056.0,129085590.0,117981322.0,117981322.0
118417547.0,125182077.0,125927575.0,124801203.0,117981322.0,129085590.0,126847242.0,120672418.0,138758334.0,135254161.0,125927575.0,135254161.0,135254161.0
128534668.0,125044863.0,117977246.0,118415544.0,129085590.0,125927575.0,120654100.0,134129830.0,121159878.0,125927575.0,117977246.0,129085590.0,129085590.0
128157836.0,118050944.0,124862623.0,121827517.0,125927575.0,117977246.0,133560598.0,136638632.0,134140103.0,119666839.0,124862623.0,125927575.0,125927575.0
135254161.0,120606852.0,120672418.0,119644356.0,124862623.0,124862623.0,120762648.0,125474984.0,128970955.0,117977246.0,120672418.0,117977246.0,117977246.0
117977246.0,117981322.0,128975011.0,121159878.0,120672418.0,120672418.0,127822107.0,117973164.0,122407119.0,120672418.0,119750822.0,124862623.0,124862623.0
124862623.0,118417547.0,119750822.0,134140103.0,128975011.0,128975011.0,124856608.0,132360364.0,129087701.0,118528163.0,128389287.0,120672418.0,120672418.0
127973538.0,125872267.0,128389287.0,128970955.0,119750822.0,119750822.0,129521954.0,126879917.0,138004695.0,119750822.0,136638632.0,128975011.0,128975011.0
128975011.0,129075339.0,136638632.0,132694239.0,128389287.0,128389287.0,135270702.0,138758334.0,131012825.0,134129830.0,127361196.0,119750822.0,119750822.0
118528163.0,128534668.0,127819947.0,120955107.0,136638632.0,136638632.0,135295283.0,121159878.0,129005786.0,126797992.0,117973164.0,128389287.0,128389287.0
119750822.0,128157836.0,127361196.0,135065840.0,127819947.0,127819947.0,124393779.0,120285385.0,121239773.0,125474984.0,121770160.0,136638632.0,136638632.0
134129830.0,128604303.0,117973164.0,132260081.0,127361196.0,127361196.0,124309821.0,128970955.0,130844896.0,117995690.0,124801203.0,127819947.0,127819947.0
128389287.0,135254161.0,121770160.0,128536827.0,117973164.0,117973164.0,124852547.0,122407119.0,120621293.0,127361196.0,118415544.0,127361196.0,117973164.0
136638632.0,135125142.0,124801203.0,123891966.0,121770160.0,121770160.0,133960008.0,129087701.0,135065840.0,117973164.0,121827517.0,117973164.0,121770160.0
129071270.0,125927575.0,126771381.0,120230144.0,124801203.0,124801203.0,134695246.0,138004695.0,132260081.0,132360364.0,119644356.0,121770160.0,124801203.0
125474984.0,120780955.0,118415544.0,124940547.0,126771381.0,118415544.0,121268559.0,131012825.0,125470962.0,121770160.0,121159878.0,124801203.0,126771381.0
