customer_id,order_id
83679554,14
101121252,11
31918778,11
40903511,1
97861236,9
58592742,13
112461245,2
104357800,8
100664500,16
63297147,2
-208350,6
31003615,7
16233478,10
128443185,1
54147835,5
94440365,2
15770277,6
53909732,11
110596755,1
69052997,5
41496163,8
59929392,4
120790740,1
111712551,4
73593504,1
92105225,5
24754094,6
53382188,2
121780753,1
120251810,5
69315859,1
111668953,1
15244166,31
104021856,2
54906167,16
30349431,35
21191737,10
17920412,8
16399847,15
-241881,9
99114340,8
21999277,16
60907520,9
40660741,3
46448115,14
77676282,5
42259550,20
23799813,1
20518735,12
51315763,8
60934054,2
105476189,3
49577208,27
108968573,5
31126786,5
40888561,17
-217422,10
18790171,3
35451580,7
40056949,6
103029302,2
82365766,8
99856054,5
16925799,24
70817042,5
76003668,24
-214163,1
81452821,2
69041813,5
90934329,14
48553582,5
61672218,6
56629986,16
71077945,45
43206451,4
19651608,8
30572294,7
32499179,1
17114896,4
43422973,2
16195280,1
-203208,17
110074234,4
101142921,1
47405659,8
17412555,10
34636609,3
-217732,9
17686860,4
78220964,2
64843652,7
37043737,7
-239227,5
48660446,37
47585474,4
57076238,3
103009924,1
21223649,6
23788257,5
123245354,2
55713650,4
-212270,29
35232605,19
49565436,21
43216082,1
95606524,12
45451857,13
43709956,2
-219711,1
82352473,5
63816195,16
41710043,1
77674075,5
85264055,14
17910185,12
103167182,7
78582655,6
51562322,11
100683553,3
-217013,6
60054308,7
53483693,7
66387911,6
63464520,2
16727221,2
49106830,8
61409414,18
41040968,21
44219348,13
105500186,4
98335469,1
28691831,20
45270501,21
59196876,6
21109668,9
19694829,3
84523791,4
54043796,4
37248754,8
42390507,13
96018436,4
35027172,12
38095921,7
74662608,5
54057090,6
-219522,10
60659648,2
64601837,18
80627888,7
55138089,7
50452047,14
55464042,10
62604210,13
61828718,42
98345983,16
47902558,3
16270791,12
68776550,2
37610740,2
81445368,7
15992794,7
57454904,2
50643013,12
71464755,3
68813340,6
51095031,3
55476921,1
40759544,4
49208290,22
80604431,13
47686810,16
47116379,9
61397150,6
80626932,17
100672266,3
15991223,10
-239493,13
75345370,7
109968414,4
46646743,12
58726095,6
61069357,4
52677994,3
51880316,2
54488675,15
51782788,10
34198183,15
19059707,10
66653680,20
112372039,2
16736007,15
15535202,7
55006990,27
76346263,10
120293792,1
61956212,8
104436893,3
96676009,8
103861498,4
59120717,2
89575514,9
61969622,20
40235298,3
111753252,5
47216235,10
113077509,2
45916529,9
68782692,2
15630716,3
112332893,5
13035534,1
19869013,1
65802055,9
59675372,5
24079039,1
127413568,1
49215713,11
103055039,8
84971105,6
84531994,11
49212988,8
120225330,1
50992413,9
105891684,2
15631213,7
18628046,2
13394187,10
62300811,3
18844451,10
78642168,4
56968017,5
41475532,15
108451231,6
40914194,5
35860826,3
101473049,6
71880875,15
16053216,13
-235003,10
90953247,3
73939126,1
108118806,4
67032087,3
19104350,1
55581805,6
55710701,15
55328176,18
38055317,1
-239177,2
44956663,6
127395755,4
87263523,9
76804724,5
51881132,7
22998492,3
15897886,7
15769814,19
51113844,8
55456972,2
-245933,2
72619753,7
73499318,10
35675669,35
40651184,15
18716254,7
95702625,9
99701825,5
33743466,1
63818277,12
112883317,5
73493046,4
58625047,4
61538375,2
75217689,5
57890582,2
86968756,9
78241105,9
70849784,5
91001887,3
128038129,2
89159618,13
15995201,1
-228753,16
24239675,11
110029770,1
112302699,7
-209866,6
61953341,6
49404955,24
71522657,3
73979906,10
-239479,7
109501909,7
16001430,2
66367844,1
84546817,10
39705657,2
128653079,1
77692665,14
48106857,33
52455804,10
71097324,11
96054040,1
19156558,11
125535601,1
49314174,4
98171999,7
70881449,7
31005567,2
60194017,5
57444147,13
51313107,14
-244636,1
42279352,12
65489216,8
58838990,1
42075587,16
63648036,8
38651804,15
24097033,7
67808189,7
62590317,12
44069933,19
30988299,13
54789388,15
78700836,8
108348800,11
44232170,3
41501249,13
33745263,7
50986989,21
64762149,2
16116974,5
58716083,2
49023736,3
15946505,1
61528669,16
51985262,9
55480561,4
49762495,12
49963855,3
10485169,7
15328257,3
105434112,6
19288761,20
81833778,1
55724249,5
53375264,6
111742128,5
31359807,17
-203756,5
63634931,6
-218124,7
61816665,3
36539430,3
120719390,1
67041899,4
39106661,14
54902407,1
15904357,5
99731197,10
71105545,3
-251957,10
61411553,2
78092192,6
35208780,23
64571951,2
100212599,3
38083328,2
58853656,5
97809248,9
-229729,7
40777416,1
104724789,4
67592284,19
89451571,10
73057813,11
54162646,4
36290262,10
51403402,17
72623648,6
79850149,12
80635093,4
43217787,6
67818810,3
63461376,2
78251588,30
17918155,12
48459753,2
123147705,4
56500297,5
46244492,2
81369446,5
106462643,1
51886887,12
57087351,10
109904641,2
47901909,11
57561164,8
53808399,8
15717197,8
49995260,4
117319155,6
47004193,4
41493623,5
58127604,17
60657397,1
77842419,5
58268979,9
52571726,12
55582141,4
67794395,7
53677685,7
76342533,3
110935870,7
66837306,8
18116889,8
15205834,14
-246716,1
17680880,8
69568696,12
15098769,22
38862830,1
-233416,8
20414139,1
129019647,2
83435228,4
49963872,1
31916744,4
76473139,1
83791838,9
60193066,14
69262886,5
-205278,2
111684997,15
62447580,11
51570284,9
65294036,1
15477369,4
-235694,8
67797999,7
88676122,4
16817590,1
83733522,4
46441988,9
99124930,5
117859547,5
50350819,5
129161242,2
86788378,5
49112259,15
86466195,11
18402496,6
47585199,31
50549031,11
41039302,5
79473778,8
73044870,4
42497377,5
51882170,10
17543460,1
40081960,3
19294931,11
35962629,5
53387811,10
106822753,3
117523620,9
129003699,1
78580764,18
17331621,7
52072410,9
53372491,8
54150752,1
95010565,20
58599718,9
59801900,6
73550765,14
52367204,53
120698853,4
71851813,2
87663896,4
49112210,9
74933802,1
95960411,2
56235131,3
61408850,5
41845071,2
69850944,2
36561183,3
-243087,13
54020135,14
74377157,6
103204642,1
105896412,12
95952015,9
101200847,2
111822679,2
79906075,12
97389337,1
16124543,2
82700579,12
110462903,3
60072049,3
60045254,4
66385776,5
49859085,1
62614222,5
66851081,8
66640868,1
107325056,3
37128070,7
58606607,30
60217965,14
16225279,2
18723613,3
43604655,26
58492531,3
