ciudad,mes,week::multi-filter,category::multi-filter,subcategoria,microsegment,GMV ALL,%_GMV SD/ALL,%_GMV SDMS/ALL,Orders ALL,PEN_orders ALL,%_orders SD/ALL,%_orders SDMS/ALL,Users ALL,PEN_users ALL,%_users SD/ALL,%_users SDMS/ALL,SPEND ALL,SPEND SD,SPEND SDMS,AOV ALL,AOV SD,AOV SDMS,ARPU ALL,ARPU SD,Contribution ARPU by SD,ARPU SDMS,Contribution ARPU by SDMS,SD_GMV,SD_DISCOUNT,SD DISCOUNT_OVER_GMV,SDMS_GMV,SDMS_DISCOUNT,SDMS DISCOUNT_OVER_GMV
CWB,2022-07-01 00:00,30,Mercearia,Conservas e Enlatados,other,461.6795532646048,51.55481535927949,51.55481535927949,55,3.01204819277108,0.9857612267250808,0.9857612267250808,55,4.00582665695557,1.310997815003641,1.310997815003641,8.394173695720088,13.223224513172967,13.223224513172967,8.394173695720088,13.223224513172967,13.223224513172967,0.336256047534308,0.17335618444072345,51.55481535927946,0.17335618444072345,51.55481535927946,238.0180412371134,23.91752,10.04861643079122,238.0180412371134,23.91752,10.04861643079122
CWB,2022-07-01 00:00,31,Mercearia,Temperos,,0.3788659793814433,0,0,1,14.2857142857143,0,0,1,14.2857142857143,0,0,0.3788659793814433,,,0.3788659793814433,,,0.0541237113402062,0,0,0,0,,,,,,
BHZ,2022-07-01 00:00,30,Bebidas,Águas e Isotônicos,,5539.863402061856,0,0,274,5.9500542888165,0,0,268,8.02875973636908,0,0,20.67113209724573,,,20.218479569568817,,,1.65963553087533,0,0,0,0,,,,,,
BAQ,2022-07-01 00:00,28,Abarrotes,Granos,comidademarycolombiana,1262.9740476190477,28.16172937233751,0.19134729420787025,254,4.92438929817759,1.2214036448235754,0.019387359441644055,244,6.72176308539945,1.735537190082645,0.027548209366391192,5.1761231459797035,5.645640211640212,2.4166666666666665,4.972338770153731,5.645640211640212,2.4166666666666665,0.34792673488128,0.09798218549127644,28.16172937233755,0.0006657483930211203,0.19134729420787044,355.67533333333336,31.965780000000002,8.987348012138412,2.4166666666666665,0.2175,0.061151274664347444
BAQ,2022-07-01 00:00,28,Abarrotes,Granos,comidarapida,1262.9740476190477,28.16172937233751,0.19134729420787025,254,4.92438929817759,1.2214036448235754,0.03877471888328811,244,6.72176308539945,1.735537190082645,0.055096418732782385,5.1761231459797035,5.645640211640212,1.2083333333333333,4.972338770153731,5.645640211640212,1.2083333333333333,0.34792673488128,0.09798218549127644,28.16172937233755,0.0006657483930211203,0.19134729420787044,355.67533333333336,31.965780000000002,8.987348012138412,2.4166666666666665,0.2175,0.061151274664347444
BAQ,2022-07-01 00:00,28,Abarrotes,Granos,corrientazo,1262.9740476190477,28.16172937233751,11.299150097530562,254,4.92438929817759,1.2214036448235754,0.6010081426909657,244,6.72176308539945,1.735537190082645,0.8539944903581269,5.1761231459797035,5.645640211640212,4.6033978494623655,4.972338770153731,5.645640211640212,4.6033978494623655,0.34792673488128,0.09798218549127644,28.16172937233755,0.0393127640036731,11.299150097530575,355.67533333333336,31.965780000000002,8.987348012138412,142.70533333333333,12.79848,3.5983603023731376
BAQ,2022-07-01 00:00,28,Abarrotes,Granos,other,1262.9740476190477,28.16172937233751,15.478280573951393,254,4.92438929817759,1.2214036448235754,0.4652966265994573,244,6.72176308539945,1.735537190082645,0.6611570247933886,5.1761231459797035,5.645640211640212,8.145277777777778,4.972338770153731,5.645640211640212,8.145277777777778,0.34792673488128,0.09798218549127644,28.16172937233755,0.05385307621671259,15.478280573951412,355.67533333333336,31.965780000000002,8.987348012138412,195.48666666666668,17.5938,4.946589867538373
BAQ,2022-07-01 00:00,28,Abarrotes,Granos,panaderiapasteleriacafeteria,1262.9740476190477,28.16172937233751,1.0016041124398174,254,4.92438929817759,1.2214036448235754,0.09693679720822028,244,6.72176308539945,1.735537190082645,0.13774104683195595,5.1761231459797035,5.645640211640212,2.53,4.972338770153731,5.645640211640212,2.53,0.34792673488128,0.09798218549127644,28.16172937233755,0.003484848484848485,1.0016041124398185,355.67533333333336,31.965780000000002,8.987348012138412,12.65,1.1385,0.32009529289820493
BAQ,2022-07-01 00:00,26,Abarrotes,Azúcar & Endulzantes,,5658.466433333333,0,0,110,11.5911485774499,0,0,110,12.035010940919,0,0,51.44060393939394,,,51.44060393939394,,,6.19088231218089,0,0,0,0,,,,,,
BAQ,2022-07-01 00:00,30,Abarrotes,Salsas,other,1237.0468233333334,7.281350091283396,3.07304077875554,103,2.26722430112261,0.11005943209333059,0.08804754567466448,99,2.98282615245556,0.15064778547755353,0.12051822838204283,12.495422457912458,18.014742000000002,9.503738333333333,12.010163333333333,18.014742000000002,9.503738333333333,0.372716728934418,0.02713880988249474,7.281350091283398,0.011453737069398416,3.0730407787555403,90.07371,7.6920332,8.539709533447661,38.01495333333333,3.2463666,3.604122223898627
BAQ,2022-07-01 00:00,30,Abarrotes,Salsas,parrillaasadero,1237.0468233333334,7.281350091283396,4.208309312527855,103,2.26722430112261,0.11005943209333059,0.02201188641866612,99,2.98282615245556,0.15064778547755353,0.030129557095510708,12.495422457912458,18.014742000000002,52.05875666666667,12.010163333333333,18.014742000000002,52.05875666666667,0.372716728934418,0.02713880988249474,7.281350091283398,0.01568507281309632,4.208309312527857,90.07371,7.6920332,8.539709533447661,52.05875666666667,4.4456666,4.935587309549034
BAQ,2022-07-01 00:00,28,Abarrotes,Panadería & Repostería,other,270.3371980952381,22.72186804530376,5.529944370215768,38,0.736719658782474,0.1357115160915084,0.058162078324932164,34,0.9366391184573,0.19283746556473821,0.08264462809917353,7.95109406162465,8.775094489795919,4.983165555555556,7.11413679197995,8.775094489795919,4.983165555555556,0.0744730573265119,0.016921669815033444,22.721868045303744,0.004118318640955003,5.529944370215763,61.42566142857143,6.27112,10.209283635134064,14.949496666666667,1.53696,2.502146438890605
BAQ,2022-07-01 00:00,28,Abarrotes,Panadería & Repostería,panaderiapasteleriacafeteria,270.3371980952381,22.72186804530376,17.191923675087995,38,0.736719658782474,0.1357115160915084,0.07754943776657622,34,0.9366391184573,0.19283746556473821,0.1101928374655647,7.95109406162465,8.775094489795919,11.61904119047619,7.11413679197995,8.775094489795919,11.61904119047619,0.0744730573265119,0.016921669815033444,22.721868045303744,0.012803351174078444,17.19192367508798,61.42566142857143,6.27112,10.209283635134064,46.47616476190476,4.73416,7.707137196243459
CMX,2022-07-01 00:00,27,"Carne, Pollo & Pescados",Cerdo Congelado,comidaespecializada,30842.64224943547,15.86968720064935,0.40583553198313427,1055,7.07673732224309,1.7708612825328678,0.0536624631070566,923,8.81313854673923,2.520767688341448,0.07638689964671055,33.4156470741446,18.540268368942158,15.646300156331423,29.234731989986226,18.540268368942158,15.646300156331423,2.94496727293378,0.46735709437608397,15.86968720064934,0.01195172359884,0.40583553198313393,4894.63084940073,733.2891199999999,14.981499985637928,125.17040125065138,18.76915,0.38346405638124853
CMX,2022-07-01 00:00,27,"Carne, Pollo & Pescados",Cerdo Congelado,comidarapida,30842.64224943547,15.86968720064935,0.9370846882048813,1055,7.07673732224309,1.7708612825328678,0.15427958143278772,923,8.81313854673923,2.520767688341448,0.21961233648429282,33.4156470741446,18.540268368942158,12.566159911185627,29.234731989986226,18.540268368942158,12.566159911185627,2.94496727293378,0.46735709437608397,15.86968720064934,0.027596837387307293,0.9370846882048808,4894.63084940073,733.2891199999999,14.981499985637928,289.0216779572694,43.34736,0.8856104031891843
CMX,2022-07-01 00:00,27,"Carne, Pollo & Pescados",Cerdo Congelado,fonda,30842.64224943547,15.86968720064935,5.980661424457657,1055,7.07673732224309,1.7708612825328678,0.6707807888382075,923,8.81313854673923,2.520767688341448,0.9548362455838819,33.4156470741446,18.540268368942158,18.445940072954663,29.234731989986226,18.540268368942158,18.445940072954663,2.94496727293378,0.46735709437608397,15.86968720064934,0.17612852165525308,5.980661424457652,4894.63084940073,733.2891199999999,14.981499985637928,1844.5940072954663,276.19822,5.6428815266797105
CMX,2022-07-01 00:00,27,"Carne, Pollo & Pescados",Cerdo Congelado,other,30842.64224943547,15.86968720064935,6.240696095500453,1055,7.07673732224309,1.7708612825328678,0.5567480547357122,923,8.81313854673923,2.520767688341448,0.792514083834622,33.4156470741446,18.540268368942158,23.19030807963485,29.234731989986226,18.540268368942158,23.19030807963485,2.94496727293378,0.46735709437608397,15.86968720064934,0.18378645761574444,6.240696095500447,4894.63084940073,733.2891199999999,14.981499985637928,1924.7955706096925,288.52444,5.894712979944653
CMX,2022-07-01 00:00,27,"Carne, Pollo & Pescados",Cerdo Congelado,taqueria,30842.64224943547,15.86968720064935,2.3054094605032245,1055,7.07673732224309,1.7708612825328678,0.33539039441910373,923,8.81313854673923,2.520767688341448,0.47741812279194096,33.4156470741446,18.540268368942158,14.220983845752997,29.234731989986226,18.540268368942158,14.220983845752997,2.94496727293378,0.46735709437608397,15.86968720064934,0.06789355411893913,2.3054094605032227,4894.63084940073,733.2891199999999,14.981499985637928,711.0491922876498,106.44995,2.1748310194431335
CMX,2022-07-01 00:00,31,"Carne, Pollo & Pescados",Pollo Fresco,,65.2902553413236,0,0,5,3.2258064516129,0,0,5,3.24675324675325,0,0,13.05805106826472,,,13.05805106826472,,,0.423962697021582,0,0,0,0,,,,,,
GDL,2022-07-01 00:00,30,Desechables,Bolsas,other,494.76140847167426,9.876379186082728,9.876379186082728,47,2.09915140687807,0.13398838767306828,0.13398838767306828,46,2.5164113785558,0.16411378555798697,0.16411378555798697,10.755682792862483,16.288170922355395,16.288170922355395,10.526838478120728,16.288170922355395,16.288170922355395,0.27065722564096,0.02673113389883272,9.876379186082723,0.02673113389883272,9.876379186082723,48.86451276706618,3.40802,6.974427466914078,48.86451276706618,3.40802,6.974427466914078
BOG,2022-07-01 00:00,29,Aseo e Higiene,Dotación,,527.0507166666666,0,0,35,0.225210732900071,0,0,33,0.313867224652844,0,0,15.971233838383839,,,15.058591904761904,,,0.0501284683913512,0,0,0,0,,,,,,
BOG,2022-07-01 00:00,31,Aseo e Higiene,Desinfectantes & Sanitizantes,cafeteria,45.609806666666664,27.18437306830651,4.154954395041651,12,5.8252427184466,1.45631067961165,0.48543689320388334,12,5.91133004926108,1.47783251231527,0.4926108374384234,3.8008172222222223,4.132913333333334,1.8950666666666667,3.8008172222222223,4.132913333333334,1.8950666666666667,0.224678850574713,0.06107753694581277,27.184373068306446,0.00933530377668308,4.154954395041641,12.39874,0.9742666,7.8577871622439055,1.8950666666666667,0.1618333,1.3052398872788689
BOG,2022-07-01 00:00,31,Aseo e Higiene,Desinfectantes & Sanitizantes,comidaespecializada,45.609806666666664,27.18437306830651,23.02941867326486,12,5.8252427184466,1.45631067961165,0.9708737864077667,12,5.91133004926108,1.47783251231527,0.9852216748768468,3.8008172222222223,4.132913333333334,5.251836666666667,3.8008172222222223,4.132913333333334,5.251836666666667,0.224678850574713,0.06107753694581277,27.184373068306446,0.05174223316912969,23.029418673264807,12.39874,0.9742666,7.8577871622439055,10.503673333333333,0.8124333,6.552547274965037
CWB,2022-07-01 00:00,30,"Carnes, Aves e Peixes",Suínos,other,1321.9888316151203,5.394610718126846,5.394610718126846,27,1.47864184008762,0.3285870755750267,0.3285870755750267,26,1.89366351056082,0.4369992716678815,0.4369992716678815,50.845724292889244,11.88602520045819,11.88602520045819,48.962549319078526,11.88602520045819,11.88602520045819,0.9628469276148,0.05194184355626314,5.394610718126858,0.05194184355626314,5.394610718126858,71.31615120274914,11.13917,15.619421143930998,71.31615120274914,11.13917,15.619421143930998
CWB,2022-07-01 00:00,31,"Carnes, Aves e Peixes",Suínos,,65.4381443298969,0,0,1,14.2857142857143,0,0,1,14.2857142857143,0,0,65.4381443298969,,,65.4381443298969,,,9.34830633284242,0,0,0,0,,,,,,
BHZ,2022-07-01 00:00,29,Mercearia,Condimentos,,1595.958762886598,0,0,153,2.58795669824087,0,0,146,3.8149986934936,0,0,10.931224403332862,,,10.431103025402601,,,0.417026068170002,0,0,0,0,,,,,,
BHZ,2022-07-01 00:00,30,Congelados,Batatas Pré-Fritas,,20675.282768777615,0,0,427,9.27252985884908,0,0,384,11.5038945476333,0,0,53.84188221035837,,,48.41986596903423,,,6.19391335194057,0,0,0,0,,,,,,
BHZ,2022-07-01 00:00,29,Congelados,Polpas e Açaí,,648.493943298969,0,0,63,1.06562922868742,0,0,62,1.6200679383329,0,0,10.459579730628533,,,10.293554655539191,,,0.169452297700279,0,0,0,0,,,,,,
BAQ,2022-07-01 00:00,26,Desechables,Vasos,,167.60110333333333,0,0,148,15.595363540569,0,0,148,16.1925601750547,0,0,1.1324398873873873,,,1.1324398873873873,,,0.183371010211524,0,0,0,0,,,,,,
SPO,2022-07-01 00:00,28,Limpeza e Higiene,Desinfetantes e Sanitizantes,comidainternacionalgrill,2049.8537696553162,9.96500551702579,1.610122396424653,465,1.77508016491067,0.1946862116353638,0.030539013589860987,454,2.83466533466533,0.3184315684315679,0.04995004995004986,4.515096408932414,4.005255710531635,4.125644329896907,4.408287676678099,4.005255710531635,4.125644329896907,0.127987872730727,0.012753998578740825,9.965005517025737,0.0020607614035449053,1.6101223964246443,204.26804123711338,24.177819999999997,11.836320480468355,33.00515463917526,3.95103,1.934237963056425
SPO,2022-07-01 00:00,28,Limpeza e Higiene,Desinfetantes e Sanitizantes,comidaporquilo,2049.8537696553162,9.96500551702579,2.9790910558242794,465,1.77508016491067,0.1946862116353638,0.07253015727591984,454,2.83466533466533,0.3184315684315679,0.11863136863136843,4.515096408932414,4.005255710531635,3.2140531741725447,4.408287676678099,4.005255710531635,3.2140531741725447,0.127987872730727,0.012753998578740825,9.965005517025737,0.0038128752690608295,2.979091055824263,204.26804123711338,24.177819999999997,11.836320480468355,61.06701030927835,7.32216,3.584584233370345
SPO,2022-07-01 00:00,28,Limpeza e Higiene,Desinfetantes e Sanitizantes,lanches,2049.8537696553162,9.96500551702579,5.250185921248182,465,1.77508016491067,0.1946862116353638,0.08779966407085034,454,2.83466533466533,0.3184315684315679,0.14360639360639335,4.515096408932414,4.005255710531635,4.6791797400268935,4.408287676678099,4.005255710531635,4.6791797400268935,0.127987872730727,0.012753998578740825,9.965005517025737,0.006719601275013635,5.250185921248154,204.26804123711338,24.177819999999997,11.836320480468355,107.62113402061856,12.59536,6.1660942767739995
SPO,2022-07-01 00:00,28,Limpeza e Higiene,Desinfetantes e Sanitizantes,other,2049.8537696553162,9.96500551702579,0.12560614352867625,465,1.77508016491067,0.1946862116353638,0.0038173766987326233,454,2.83466533466533,0.3184315684315679,0.006243756243756233,4.515096408932414,4.005255710531635,2.5747422680412373,4.408287676678099,4.005255710531635,2.5747422680412373,0.127987872730727,0.012753998578740825,9.965005517025737,0.0001607606311214556,0.1256061435286756,204.26804123711338,24.177819999999997,11.836320480468355,2.5747422680412373,0.30927,0.1514040072675886
SPO,2022-07-01 00:00,26,Limpeza e Higiene,Desinfetantes e Sanitizantes,,280.069587628866,0,0,64,1.30959688970739,0,0,64,1.36752136752137,0,0,4.376087306701031,,,4.376087306701031,,,0.0598439289805269,0,0,0,0,,,,,,
SPO,2022-07-01 00:00,27,Limpeza e Higiene,Limpadores de Piso,other,449.45103092783506,14.419079403854646,14.419079403854646,106,0.39590647643236,0.05602450138193773,0.05602450138193773,105,0.65027559298941,0.09289651328420143,0.09289651328420143,4.280486008836524,4.32044673539519,4.320446735395189,4.240104065356935,4.32044673539519,4.320446735395189,0.0278349557767904,0.004013544375483239,14.419079403854665,0.004013544375483238,14.419079403854663,64.80670103092784,5.78608,8.92821252734142,64.80670103092784,5.78608,8.92821252734142
CWB,2022-07-01 00:00,30,Descartáveis,Sacos,,24.394329896907216,0,0,9,0.492880613362541,0,0,9,0.655498907501821,0,0,2.7104810996563575,,,2.7104810996563575,,,0.0177671739962908,0,0,0,0,,,,,,
PBC,2022-07-01 00:00,29,Abarrotes,Azúcar & Endulzantes,other,25805.499218342888,11.964141579188023,11.964141579188023,621,18.2754561506769,2.442613301942323,2.442613301942323,575,22.7362593910637,3.281929616449195,3.281929616449195,44.879129075378934,37.19766821323857,37.19766821323857,41.55474914386938,37.19766821323857,37.19766821323857,10.2038351990284,1.220801289718785,11.964141579188073,1.220801289718785,11.964141579188073,3087.4064616988016,308.18603,9.982036179014312,3087.4064616988016,308.18603,9.982036179014312
GDL,2022-07-01 00:00,30,Bebidas,Jugos,,881.519020323085,0,0,76,3.39437248771773,0,0,71,3.88402625820569,0,0,12.415760849620915,,,11.598934477935329,,,0.482231411555298,0,0,0,0,,,,,,
VCP,2022-07-01 00:00,31,Laticínios e Ovos,Laticínios,,12.603092783505154,0,0,1,3.125,0,0,1,3.125,0,0,12.603092783505154,,,12.603092783505154,,,0.393846649484536,0,0,0,0,,,,,,
BOG,2022-07-01 00:00,27,"Carne, Pollo & Pescados",Pescados & Mariscos Congelado,comidaespecializada,6160.5050833333335,14.645649793244088,1.7102710233675238,295,1.82707791403444,0.3158677071720557,0.061934844543540334,275,2.50295804132156,0.4641849458450893,0.09101665604805671,22.401836666666668,17.691098039215685,10.536133333333334,20.883068079096045,17.691098039215685,10.536133333333334,0.560708572252055,0.082119413852735,14.645649793244093,0.009589636236764655,1.7102710233675242,902.246,135.3369,15.000000000000004,105.36133333333333,15.8042,1.7516508801369028
BOG,2022-07-01 00:00,27,"Carne, Pollo & Pescados",Pescados & Mariscos Congelado,corrientazo,6160.5050833333335,14.645649793244088,6.446857759674224,295,1.82707791403444,0.3158677071720557,0.11767620463272664,275,2.50295804132156,0.4641849458450893,0.17293164649130777,22.401836666666668,17.691098039215685,20.903105263157894,20.883068079096045,17.691098039215685,20.903105263157894,0.560708572252055,0.082119413852735,14.645649793244093,0.03614808409939016,6.4468577596742245,902.246,135.3369,15.000000000000004,397.159,59.57385,6.602838915329079
BOG,2022-07-01 00:00,27,"Carne, Pollo & Pescados",Pescados & Mariscos Congelado,other,6160.5050833333335,14.645649793244088,6.364072339793676,295,1.82707791403444,0.3158677071720557,0.1300631735414347,275,2.50295804132156,0.4641849458450893,0.1911349777009191,22.401836666666668,17.691098039215685,18.66947619047619,20.883068079096045,17.691098039215685,18.66947619047619,0.560708572252055,0.082119413852735,14.645649793244093,0.03568389915354507,6.364072339793677,902.246,135.3369,15.000000000000004,392.059,58.80885,6.518050509506277
BOG,2022-07-01 00:00,27,"Carne, Pollo & Pescados",Pescados & Mariscos Congelado,parrillaasadero,6160.5050833333335,14.645649793244088,0.12444867040866685,295,1.82707791403444,0.3158677071720557,0.0061934844543540335,275,2.50295804132156,0.4641849458450893,0.009101665604805673,22.401836666666668,17.691098039215685,7.666666666666667,20.883068079096045,17.691098039215685,7.666666666666667,0.560708572252055,0.082119413852735,14.645649793244093,0.0006977943630351017,0.1244486704086669,902.246,135.3369,15.000000000000004,7.666666666666667,1.15,0.12745969502774188
