SD_GMV,PEN_users ALL,%_users SDMS/ALL,SD DISCOUNT_OVER_GMV,%_GMV SD/ALL,category,PEN_orders ALL,microsegment,%_orders SD/ALL,SPEND ALL,GMV ALL,Contribution ARPU by SDMS,%_users SD/ALL,SPEND SDMS,SDMS_DISCOUNT,AOV SDMS,Orders ALL,SPEND SD,ARPU SD,AOV SD,SDMS_GMV,mes,ARPU SDMS,Contribution ARPU by SD,SDMS DISCOUNT_OVER_GMV,AOV ALL,%_orders SDMS/ALL,city::multi-filter,Users ALL,week::multi-filter,ARPU ALL,%_GMV SDMS/ALL,SD_DISCOUNT
2221.5818506662695,36.013986013986,9.479409479409476,9.119806229027192,11.212969235986293,Lácteos & Huevos,30.7402031930334,other,7.227866473149496,21.372826191785297,19812.60987978497,11.212969235986284,9.479409479409476,9.104843650271597,202.60396,8.922015464523172,1059,9.104843650271595,0.8630854120692574,8.92201546452317,2221.5818506662695,2022-07,0.8630854120692575,11.212969235986282,9.119806229027192,18.70879119904152,7.227866473149496,GDL,927,27,7.6972066355031,11.212969235986293,202.60396
,26.5587044534413,0.0,,0.0,Aseo e Higiene,20.9120912091209,,0.0,6.309192974588124,4138.83059132981,0.0,0.0,,,,697,,0.0,,,2022-07,0.0,0.0,,5.93806397608294,0.0,PBC,656,28,1.67563991551814,0.0,
2121.734924761905,21.6187147082549,0.05377789728421617,10.62878216633525,20.337099177566067,Lácteos & Huevos,16.0767511177347,comidademarycolombiana,3.334575260804763,12.976156353352286,10432.829708095238,0.09625384752717696,4.7324549610110225,5.021,0.90378,5.021,863,12.055312072510823,0.5705122142408992,11.853267736100028,10.042,2022-07,0.0027001882226404938,20.33709917756609,0.042596272958150966,12.089026312972466,0.03725782414306998,BAQ,804,27,2.80527822212832,0.09625384752717685,225.51458330000003
2121.734924761905,21.6187147082549,0.026888948642108085,10.62878216633525,20.337099177566067,Lácteos & Huevos,16.0767511177347,comidaespecializada,3.334575260804763,12.976156353352286,10432.829708095238,0.10895094604915137,4.7324549610110225,11.366666666666667,0.888,11.366666666666667,863,12.055312072510823,0.5705122142408992,11.853267736100028,11.366666666666667,2022-07,0.003056377162319619,20.33709917756609,0.04185254197574416,12.089026312972466,0.01862891207153499,BAQ,804,27,2.80527822212832,0.10895094604915126,225.51458330000003
2121.734924761905,21.6187147082549,0.8335574079053506,10.62878216633525,20.337099177566067,Lácteos & Huevos,16.0767511177347,comidarapida,3.334575260804763,12.976156353352286,10432.829708095238,3.0633868497378542,4.7324549610110225,10.309610752688172,37.76944,9.987435416666667,863,12.055312072510823,0.5705122142408992,11.853267736100028,319.59793333333334,2022-07,0.08593652415523882,20.33709917756609,1.7801205777030975,12.089026312972466,0.5961251862891197,BAQ,804,27,2.80527822212832,3.063386849737851,225.51458330000003
2121.734924761905,21.6187147082549,0.7797795106211344,10.62878216633525,20.337099177566067,Lácteos & Huevos,16.0767511177347,corrientazo,3.334575260804763,12.976156353352286,10432.829708095238,2.472946847135276,4.7324549610110225,8.896494252873563,23.21985,8.896494252873563,863,12.055312072510823,0.5705122142408992,11.853267736100028,257.99833333333333,2022-07,0.06937303934749482,20.33709917756609,1.0943803454904089,12.089026312972466,0.5402384500745148,BAQ,804,27,2.80527822212832,2.4729468471352734,225.51458330000003
2121.734924761905,21.6187147082549,0.6184458187684859,10.62878216633525,20.337099177566067,Lácteos & Huevos,16.0767511177347,fritos,3.334575260804763,12.976156353352286,10432.829708095238,3.3474491239484436,4.7324549610110225,15.184072463768116,33.83383,15.184072463768116,863,12.055312072510823,0.5705122142408992,11.853267736100028,349.2336666666667,2022-07,0.09390526127095093,20.33709917756609,1.594630394454045,12.089026312972466,0.4284649776453048,BAQ,804,27,2.80527822212832,3.3474491239484405,225.51458330000003
2121.734924761905,21.6187147082549,1.4520032266738365,10.62878216633525,20.337099177566067,Lácteos & Huevos,16.0767511177347,other,3.334575260804763,12.976156353352286,10432.829708095238,7.315423901753499,4.7324549610110225,14.13343922398589,85.08946,13.628673537414967,863,12.055312072510823,0.5705122142408992,11.853267736100028,763.2057180952381,2022-07,0.20521799357226075,20.33709917756609,4.010371842729058,12.089026312972466,1.0432190760059594,BAQ,804,27,2.80527822212832,7.315423901753492,225.51458330000003
2121.734924761905,21.6187147082549,0.9411132024737829,10.62878216633525,20.337099177566067,Lácteos & Huevos,16.0767511177347,panaderiapasteleriacafeteria,3.334575260804763,12.976156353352286,10432.829708095238,3.8854010338039098,4.7324549610110225,11.58163638095238,43.3662233,11.58163638095238,863,12.055312072510823,0.5705122142408992,11.853267736100028,405.35727333333335,2022-07,0.10899630904364968,20.33709917756609,2.0439039200368745,12.089026312972466,0.6520119225037246,BAQ,804,27,2.80527822212832,3.885401033803906,225.51458330000003
2121.734924761905,21.6187147082549,0.026888948642108085,10.62878216633525,20.337099177566067,Lácteos & Huevos,16.0767511177347,tiendarestaurante,3.334575260804763,12.976156353352286,10432.829708095238,0.04728662761077538,4.7324549610110225,4.933333333333334,0.444,4.933333333333334,863,12.055312072510823,0.5705122142408992,11.853267736100028,4.933333333333334,2022-07,0.0013265214663439988,20.33709917756609,0.02092627098787208,12.089026312972466,0.01862891207153499,BAQ,804,27,2.80527822212832,0.047286627610775324,225.51458330000003
,13.1291028446389,0.0,,0.0,Lácteos & Huevos,12.8556375131718,,0.0,11.236734444444444,1348.4081333333334,0.0,0.0,,,,122,,0.0,,,2022-07,0.0,0.0,,11.052525683060109,0.0,BAQ,120,26,1.47528242159008,0.0,
