20220420_SPO_NB_frango_W16,20220420_SPO_NB_suinos_W16,20220420_SPO_NB_embutidos_W16,20220420_SPO_NB_carnevermelha_W16,20220420_SPO_NB_peixesefrutosdomar_W16
19874173.0,143036791.0,19874173.0,134582643.0,134582643.0
35414399.0,143077756.0,35414399.0,143114614.0,143114614.0
138568090.0,19874173.0,145129881.0,142217591.0,142217591.0
109322658.0,35414399.0,138568090.0,143036791.0,143036791.0
142938536.0,145129881.0,109322658.0,143077756.0,143077756.0
139276715.0,138568090.0,142938536.0,19874173.0,19874173.0
143151545.0,109322658.0,139276715.0,35414399.0,35414399.0
143172026.0,142938536.0,135082415.0,145129881.0,145129881.0
143606204.0,139276715.0,143151545.0,138568090.0,138568090.0
143929794.0,135082415.0,143172026.0,109322658.0,109322658.0
143069638.0,143151545.0,143606204.0,142938536.0,142938536.0
146100683.0,143172026.0,143929794.0,139276715.0,139276715.0
126386641.0,143606204.0,143069638.0,135082415.0,135082415.0
142410213.0,143929794.0,146100683.0,143151545.0,143151545.0
108085734.0,143069638.0,139280848.0,143172026.0,143172026.0
143933925.0,146100683.0,126386641.0,143606204.0,143606204.0
145207796.0,139280848.0,142410213.0,143929794.0,143929794.0
143589878.0,126386641.0,108085734.0,143069638.0,143069638.0
140308997.0,142410213.0,143933925.0,146100683.0,146100683.0
142275081.0,108085734.0,145207796.0,139280848.0,139280848.0
139756049.0,143933925.0,143589878.0,126386641.0,126386641.0
145109520.0,145207796.0,140308997.0,142410213.0,142410213.0
145138193.0,143589878.0,142275081.0,108085734.0,108085734.0
143204892.0,140308997.0,143127056.0,143933925.0,143933925.0
142303773.0,142275081.0,139756049.0,145207796.0,145207796.0
142406178.0,139756049.0,145109520.0,143589878.0,143589878.0
142357029.0,145109520.0,145138193.0,140308997.0,140308997.0
142930471.0,145138193.0,142303773.0,142275081.0,142275081.0
38109746.0,143204892.0,142406178.0,139756049.0,143127056.0
139846196.0,142303773.0,142357029.0,145109520.0,139756049.0
146158139.0,142406178.0,142930471.0,145138193.0,145109520.0
141374016.0,142357029.0,38109746.0,143204892.0,145138193.0
140395078.0,142930471.0,139846196.0,142303773.0,143204892.0
141738566.0,38109746.0,146158139.0,142406178.0,142303773.0
140276298.0,139846196.0,141374016.0,142357029.0,142406178.0
139092564.0,146158139.0,140395078.0,142930471.0,142357029.0
143610453.0,141374016.0,141738566.0,38109746.0,142930471.0
143647316.0,140395078.0,140276298.0,139846196.0,38109746.0
143008344.0,141738566.0,139092564.0,146158139.0,139846196.0
146023000.0,140276298.0,143610453.0,141374016.0,146158139.0
145097309.0,139092564.0,143647316.0,140395078.0,141374016.0
124367456.0,143610453.0,143008344.0,141738566.0,140395078.0
141697646.0,143647316.0,146023000.0,140276298.0,141738566.0
143077998.0,143008344.0,145097309.0,139092564.0,140276298.0
146018927.0,146023000.0,124367456.0,143610453.0,139092564.0
142283380.0,145097309.0,141697646.0,143647316.0,143610453.0
114356883.0,124367456.0,143077998.0,143008344.0,143647316.0
131007129.0,141697646.0,146018927.0,146023000.0,143008344.0
130327194.0,142283380.0,139281041.0,145097309.0,146023000.0
144351905.0,139281041.0,114356883.0,124367456.0,145097309.0
139694754.0,114356883.0,131007129.0,141697646.0,124367456.0
145089187.0,131007129.0,130327194.0,143077998.0,141697646.0
138736296.0,130327194.0,144351905.0,146018927.0,143077998.0
142987945.0,144351905.0,139694754.0,142283380.0,146018927.0
132330155.0,139694754.0,145089187.0,139281041.0,142283380.0
139391664.0,145089187.0,138736296.0,114356883.0,139281041.0
143205049.0,138736296.0,142987945.0,131007129.0,114356883.0
142430906.0,142987945.0,132330155.0,130327194.0,131007129.0
140284603.0,132330155.0,139391664.0,144351905.0,130327194.0
145097404.0,139391664.0,143205049.0,139694754.0,144351905.0
145863358.0,143205049.0,142430906.0,145089187.0,139694754.0
