microsegment,subcat,name,sku_ids
Lanches,Alimentos Congelados,"Anéis de Cebola Empanados 1.05kg - McCain  Congelado - Pacote de 1.05kg - A partir de 1 pacote, Anéis de Cebola Empanados 1.05kg - McCain  Congelado - Pacote de 1.05kg - Mais de 6 pacotes, Anéis de Cebola Empanados 1.05kg - McCain  Congelado - Pacote de 1.05kg - Mais de 3 pacotes","243672, 243673, 243671"
Lanches,Alimentos Congelados,"Batata Chips Caseira 2kg - Simplot  Pacote de 2kg - 1 pacote, Batata Chips Caseira 2kg - Simplot  Pacote de 2kg - Mais de 10 pacotes, Batata Chips Caseira 2kg - Simplot  Pacote de 2kg - Mais de 5 pacotes","217649, 217647, 217648"
Lanches,Alimentos Congelados,"Batata Palito Steakhouse 2kg - Simplot  Pacote de 2kg - 1 pacote, Batata Palito Steakhouse 2kg - Simplot  Pacote de 2kg - Mais de 10 pacotes, Batata Palito Steakhouse 2kg - Simplot  Pacote de 2kg - Mais de 5 pacotes","217639, 217640, 217641"
Lanches,Alimentos Congelados,"Batata Pré-Frita Corte Fino 2.25Kg - Simplot  Pacote de 2.25kg - Mais de 10 pacotes, Batata Pré-Frita Corte Fino 2.25Kg - Simplot  Pacote de 2.25kg - 1 pacote, Batata Pré-Frita Corte Fino 2.25Kg - Simplot  Pacote de 2.25kg - Mais de 5 pacotes","180321, 180320, 180319"
Lanches,Alimentos Congelados,"Batata Pré-Frita Corte Tradicional 2.5kg - McCain  Congelado - Pacote de 2.5kg - Mais de 6 pacotes, Batata Pré-Frita Corte Tradicional 2.5kg - McCain  Congelado - Pacote de 2.5kg - A partir de 1 pacote, Batata Pré-Frita Corte Tradicional 2.5kg - McCain  Congelado - Pacote de 2.5kg - Mais de 3 pacotes","243665, 243664, 243663"
Lanches,Alimentos Congelados,"Batata Pré-Frita Crinkle Fries 2.5kg - McCain  Congelado - Pacote de 2.5kg - Mais de 6 pacotes, Batata Pré-Frita Crinkle Fries 2.5kg - McCain  Congelado - Pacote de 2.5kg - A partir de 1 pacote, Batata Pré-Frita Crinkle Fries 2.5kg - McCain  Congelado - Pacote de 2.5kg - Mais de 3 pacotes","243669, 243668, 243667"
Lanches,Alimentos Congelados,"Batata Pré-Frita Extra Crunch 2.5Kg - Simplot  Pacote de 2.5kg - Mais de 10 pacotes, Batata Pré-Frita Extra Crunch 2.5Kg - Simplot  Pacote de 2.5kg - 1 pacote, Batata Pré-Frita Extra Crunch 2.5Kg - Simplot  Pacote de 2.5kg - Mais de 5 pacotes","180325, 180324, 180323"
Lanches,Alimentos Congelados,"Batata Pré-Frita Tradicional - Cool Mind  Pacote de 2kg - Mais de 5 pacotes (10kg), Batata Pré-Frita Tradicional - Cool Mind  Pacote de 2kg - 1 pacote (2kg), Batata Pré-Frita Tradicional - Cool Mind  Pacote de 2kg - Mais de 10 pacotes (20kg)","166184, 166186, 166188"
Lanches,Alimentos Congelados,"Batata Rústica 2kg - Simplot  Pacote de 2kg - 1 pacote, Batata Rústica 2kg - Simplot  Pacote de 2kg - Mais de 10 pacotes, Batata Rústica 2kg - Simplot  Pacote de 2kg - Mais de 5 pacotes","217643, 217645, 217644"
Lanches,Alimentos Congelados,"Onion Rings 1.1Kg - Simplot  Pacote de 1.1kg - 1 pacote, Onion Rings 1.1Kg - Simplot  Pacote de 1.1kg - Mais de 10 pacotes, Onion Rings 1.1Kg - Simplot  Pacote de 1.1kg - Mais de 5 pacotes","180702, 180330, 180329"
Lanches,"Azeites, Óleos e Vinagres","Óleo de Algodão Liza 14.5Kg  14,5Kg - Unidade",173909
Lanches,Carne Vermelha,"Almondega Bovina - BJP Mezato  Congelado - Pacote de 2kg (80 peças de 25g aprox.) - A partir de 1 pacote (2kg), Almondega Bovina - BJP Mezato  Congelado - Pacote de 2kg (80 peças de 25g aprox.) - Mais de 6 pacotes (12kg), Almondega Bovina - BJP Mezato  Congelado - Pacote de 2kg (80 peças de 25g aprox.) - Mais de 3 pacotes (6kg)","232294, 232295, 232296"
