20220420_BHZ_NB_tuberculos_W16,20220420_BHZ_NB_verduras_W16,20220420_BHZ_NB_frutas_W16,20220420_BHZ_NB_legumes_W16,20220420_BHZ_NB_leite_W16,20220420_BHZ_NB_ovos_W16,20220420_BHZ_NB_detergentesabaoelava-louas_W16,20220420_BHZ_NB_feijao_W16
145917962.0,143482893.0,139695106.0,139695106.0,145951744.0,145951744.0,142989316.0,145951744.0
143482893.0,64763923.0,139256326.0,142989316.0,139695106.0,139695106.0,142411784.0,139695106.0
84518941.0,84518941.0,129973255.0,139256326.0,142989316.0,142989316.0,145917962.0,142989316.0
142925856.0,142925856.0,140483083.0,129973255.0,129973255.0,142411784.0,145342490.0,142411784.0
138692641.0,138692641.0,145125900.0,141819401.0,142411784.0,145917962.0,84518941.0,145917962.0
140355619.0,140355619.0,64763923.0,134544394.0,145917962.0,134544394.0,142925856.0,134544394.0
136730661.0,136730661.0,144375315.0,140483083.0,143482893.0,143482893.0,138692641.0,142234638.0
139227174.0,139227174.0,84518941.0,145125900.0,64763923.0,142234638.0,136730661.0,64763923.0
138094630.0,138094630.0,139078175.0,139808266.0,145342490.0,64763923.0,139227174.0,145822743.0
67385383.0,67385383.0,142925856.0,142234638.0,84518941.0,145822743.0,138094630.0,145342490.0
142925864.0,139175992.0,138692641.0,145822743.0,141581342.0,145342490.0,140419112.0,139086875.0
139175992.0,143913029.0,145361955.0,145128988.0,142925856.0,139086875.0,67385383.0,84518941.0
145461329.0,145461329.0,139653668.0,84518941.0,138692641.0,84518941.0,142925864.0,141581342.0
142379094.0,142379094.0,136730661.0,141581342.0,140355619.0,141581342.0,139175992.0,138692641.0
141772890.0,142336088.0,127502884.0,139078175.0,145361955.0,142925856.0,142903365.0,143592480.0
139743322.0,139710552.0,67385383.0,143592480.0,136730661.0,138692641.0,139751497.0,140355619.0
139780187.0,139743322.0,145358371.0,140355619.0,138094630.0,143592480.0,145461329.0,145361955.0
145160295.0,139677792.0,142374437.0,127502884.0,140419112.0,140355619.0,142336088.0,136730661.0
139806824.0,145160295.0,142983722.0,136730661.0,67385383.0,145361955.0,139743322.0,138094630.0
143538280.0,143538280.0,131429418.0,142378020.0,142925864.0,136730661.0,139780187.0,67385383.0
142332013.0,129239150.0,140359205.0,67385383.0,142378020.0,138094630.0,139677792.0,142925864.0
145240176.0,145240176.0,87383606.0,143034919.0,131429418.0,140419112.0,139806824.0,142378020.0
143917171.0,143917171.0,135038524.0,145358371.0,141685813.0,67385383.0,143538280.0,131429418.0
142186617.0,142186617.0,110561857.0,142983722.0,139175992.0,142925864.0,142332013.0,141685813.0
142907516.0,142907516.0,142400581.0,142374437.0,145222713.0,142378020.0,129239150.0,139175992.0
