20220420_BAQ_NB_tuberculos_W16,20220420_BAQ_NB_arroz_W16,20220420_BAQ_NB_frutas_W16,20220420_BAQ_NB_huevos_W16,20220420_BAQ_NB_verduras_W16,20220420_BAQ_NB_vasos_W16,20220420_BAQ_NB_contenedores_W16,20220420_BAQ_NB_detergentejabonylavalozas_W16
141703604.0,,139229094.0,146245056.0,,145200528.0,145417609.0,
146245056.0,,142498726.0,143039939.0,,142260636.0,145411465.0,
143039939.0,,140862888.0,141723591.0,,143077790.0,143187339.0,
141723591.0,,142471590.0,143035335.0,,122290590.0,139734413.0,
143035335.0,,146031019.0,140352457.0,,139229094.0,142260636.0,
142473166.0,,-213587.0,142230986.0,,142498726.0,143077790.0,
140771801.0,,145943981.0,142473166.0,,140862888.0,122290590.0,
144741856.0,,141703604.0,140771801.0,,142471590.0,140371365.0,
142555105.0,,146245056.0,144741856.0,,146031019.0,139229094.0,
141269988.0,,141723591.0,141269988.0,,142473212.0,142498726.0,
131548132.0,,143035335.0,131548132.0,,-213587.0,146031019.0,
145270766.0,,142230986.0,141608427.0,,145943981.0,-213587.0,
143057908.0,,145925071.0,145270766.0,,146245056.0,141703604.0,
143122420.0,,144741856.0,143057908.0,,-224827.0,146245056.0,
142473212.0,,142555105.0,143122420.0,,143035335.0,143039939.0,
,,141269988.0,146161143.0,,140352457.0,-224827.0,
,,131548132.0,141824508.0,,142230986.0,141723591.0,
,,141608427.0,,,142473166.0,143035335.0,
,,145270766.0,,,145925071.0,142230986.0,
,,143057908.0,,,144741856.0,145925071.0,
,,143122420.0,,,142555105.0,140771801.0,
,,146161143.0,,,131548132.0,144741856.0,
,,142473212.0,,,141608427.0,142555105.0,
,,,,,145270766.0,141269988.0,
,,,,,143057908.0,131548132.0,
,,,,,143122420.0,143057908.0,
,,,,,146161143.0,143122420.0,
,,,,,141824508.0,146161143.0,
,,,,,,141824508.0,
