bweek,week,business_type,customer_id
1,1,1.0,906
1,2,1.0,275
1,3,1.0,402
1,4,1.0,334
1,5,1.0,356
1,6,1.0,368
1,7,1.0,366
2,2,1.0,725
2,3,1.0,195
2,4,1.0,225
2,5,1.0,256
2,6,1.0,247
2,7,1.0,248
3,3,1.0,664
3,4,1.0,122
3,5,1.0,221
3,6,1.0,189
3,7,1.0,207
4,4,1.0,449
4,5,1.0,103
4,6,1.0,113
4,7,1.0,124
5,5,1.0,419
5,6,1.0,83
5,7,1.0,96
6,6,1.0,383
6,7,1.0,60
7,7,1.0,305
