region_code,offer_id,customer_segment_id_test,customer_segment_id_control,discount,start_date,end_date,value_discount,card_id,name
BAQ,652325,526436,526814,20231201_BAQ_corrientazo_piloto_NB_azucaryendulzantes_W48,2023-12-01,2023-12-31,5.0,"[446362, 67822, 460823]","['Panela cuadrada Oromiel x 480gr', 'Azúcar en Bulto Nacional x 50kg', 'Azúcar importada en Bulto x 50kg']"
BAQ,652326,526449,526827,20231201_BAQ_corrientazo_piloto_NB_harinasymezclas_W48,2023-12-01,2023-12-31,4.0,"[-201185, -200869, 207250, 25524]","['Harina Precocida Blanca La Nieve x 500gr', 'Harina Haz de Oros x 500gr', 'Harina Blanca Doñarepa x 1kg', 'Harina De Trigo Tradicional La Nieve x 500gr']"
BAQ,652327,526448,526826,20231201_BAQ_corrientazo_piloto_NB_granos_W48,2023-12-01,2023-12-31,10.0,"[465810, 465812, 465815]","['Frijol zaragoza Algran x 500gr', 'Lenteja Algran x 500gr', 'Frijol cabeza negra Algran x 500gr']"
BAQ,652328,526435,526813,20231201_BAQ_corrientazo_piloto_NB_arroz_W48,2023-12-01,2023-12-31,6.0,"[468026, 399349]","['Arroz Naoli Bulto x 50kg', 'Arroz Roa 25und x 500gr']"
BAQ,652329,527304,526832,20231201_BAQ_corrientazo_piloto_NB_pasta_W48,2023-12-01,2023-12-31,12.0,"[207245, 207246, -200859]","['Pasta fideo la muñeca x 500gr', 'Pasta spaguetti  la muñeca x 1000gr ', 'Pasta  Spaguetti La Muñeca x 250gr']"
BAQ,652330,527551,526433,20231201_BAQ_corrientazo_piloto_NB_salsas_W48,2023-12-01,2023-12-31,13.0,"[208121, 461467, 208115, 409759, 208113, 208117, 208119, 357213]","['Salsa con Mostaza Pompeya x 4.100gr', 'Salsa teriyaki Casta Gourmet 200ml', 'Salsa con Tomate Pompeya x 4.300gr', 'Vinagre Blanco Bary galón x 3000ml', 'Salsa con Tomate Pompeya Bolsa x 1.000gr', 'Mayonesa Pompeya Bolsa x 4.000gr', 'Salsa con Mostaza Pompeya Bolsa x 1.000gr', 'Salsa Soya Casta Gourmet x 3350 ml']"
BAQ,652331,526443,526821,20231201_BAQ_corrientazo_piloto_NB_desinfectantesysanitizantes_W48,2023-12-01,2023-12-31,19.0,[236666],['Blanqueador Moppy x 2000 ml']
BAQ,652332,526444,526822,20231201_BAQ_corrientazo_piloto_NB_detergentejabonylavalozas_W48,2023-12-01,2023-12-31,17.0,"[419412, 419411, 443633, 419413, 443634]","['Lavaloza en crema limón Moppy x 500 gr', 'Lavaloza en crema limón Moppy x 3000 gr', 'Detergente en Polvo Multiusos Floral Moppy  x 3Kg', 'Lavaloza en crema limón Moppy x 1000 gr', 'Detergente en Polvo Multiusos Floral Moppy x 1Kg']"
BAQ,652333,527303,526831,20231201_BAQ_corrientazo_piloto_NB_papelytoallas_W48,2023-12-01,2023-12-31,12.0,"[141513, 438274, 296559]","['Servilletas cortadas Mia x 200 und ', 'Servilleta cortada Nube x 300 und', 'Papel higienico Rosal G x 1 und']"
BAQ,652334,526432,526811,20231201_BAQ_corrientazo_piloto_NB_aguas_W48,2023-12-01,2023-12-31,10.0,"[465809, 412377, 455587]","['Agua Cielo x 1000 ml', 'Agua Cristalina 24und x 300 ml', 'Agua Saborizada Manzana Brisa paca 24und x 280 ml']"
BAQ,652335,526447,526825,20231201_BAQ_corrientazo_piloto_NB_gaseosas_W48,2023-12-01,2023-12-31,9.0,"[440825, 465818, 217569, 184217, 217568, 445762]","['Gaseosa Coca Cola x 1.5Lt', 'Gaseosa Negra Big Cola x 1000ml', 'Gaseosa Colombiana x 1.5Lt', 'Gaseosa Coca Cola pet 12und x 400 ml', 'Gaseosa Manzana Postobon x 1.5Lt', 'Gaseosa Pepsi 1.5Lt']"
BAQ,652336,527301,526829,20231201_BAQ_corrientazo_piloto_NB_jugos_W48,2023-12-01,2023-12-31,12.0,"[432729, 217579, 217577, 411587, 432736, 411578]","['Jugo Hit Naranja Piña x 1Lt', 'Jugo Hit Frutas Tropicales 12und x 500 ml ', 'Jugo Hit Mango 12und x 500 ml', 'Jugo Hit Frutas Tropicales x 1Lt', 'Jugo Hit Mora x 1Lt', 'Jugo Hit Mango x 1Lt']"
BAQ,652338,526445,526823,20231201_BAQ_corrientazo_piloto_NB_embutidos_W48,2023-12-01,2023-12-31,9.0,"[229119, 465110, 229118, 117826]","['Salchicha Manguera Santa Cruz x 500gr', 'Butifarra Criolla Santa Cruz x 500gr', 'Salchichon Cervecero Santa Cruz x 800gr', 'Salchichon Cervecero  Cunit x 1kg ']"
BAQ,652339,526438,526816,20231201_BAQ_corrientazo_piloto_NB_cerdo_W48,2023-12-01,2023-12-31,12.0,"[459840, 403464, 403467]","['Chuleta de Cerdo Comerpes', 'Pulpa de Cerdo Porcionada 5und x 200gr', 'Pulpa de Cerdo Porcionada 10und x 100gr']"
BAQ,652340,527305,526833,20231201_BAQ_corrientazo_piloto_NB_pescadosymariscoscongelado_W48,2023-12-01,2023-12-31,12.0,"[432068, 467616]","['Basa en Rodajas Frigogher', 'Filete de tilapia x 1000 gr']"
BAQ,652341,527306,526834,20231201_BAQ_corrientazo_piloto_NB_pollo_W48,2023-12-01,2023-12-31,12.0,"[156059, 156060, 117079, 117312]","['Pechuga con Hueso y Piel  Campollo', 'Muslo con Contra Muslo  Campollo', 'Pechuga Mercapollo', 'Pollo Entero Marinado  Mercapollo']"
BAQ,652342,527554,526428,20231201_BAQ_corrientazo_piloto_NB_res_W48,2023-12-01,2023-12-31,12.0,"[423730, 423726, 426072, 426078]","['Carne Molida Especial de Res ', 'Carne Molida Corriente de Res ', 'Carne Blanda para Asar 10und x 100gr', 'carne Blanda para Asar 5und x 200gr']"
BAQ,652343,526434,526812,20231201_BAQ_corrientazo_piloto_NB_alimentoscongelados_W48,2023-12-01,2023-12-31,13.0,"[447281, 376714, 469272]","['Papas en Casco Zenú x 1kg', 'Papa Francesa - Ricongelisto x 2kg', 'Papa Francesa Pesquera del Mar 2.5 Kg']"
BAQ,652344,527307,526835,20231201_BAQ_corrientazo_piloto_NB_pulpasdefruta_W48,2023-12-01,2023-12-31,14.0,"[432732, 432727]","['Pulpa de Fresa Sas x 1kg', 'Pulpa de Tomate Árbol Sas x 1kg']"
BAQ,652345,526437,526815,20231201_BAQ_corrientazo_piloto_NB_bolsas_W48,2023-12-01,2023-12-31,12.0,"[359441, 323759, 317359, 317361, 317360, 359440, 317362]","['Bolsa de papel de 2 lb (10.5x23.5cm) x 100 und', 'Bolsa porta cubiertos x 100 und', 'Bolsa manigueta blanca 3 Kg x 100 und', 'Bolsa manigueta blanca 10Kg x 100 und', 'Bolsa manigueta blanca 5 Kg x 100 und', 'Bolsa de papel de 1 lb (9x20cm) x 100 und', 'Bolsa manigueta blanca 15 Kg x 100 und']"
