region_code,offer_id,customer_segment_id_test,customer_segment_id_control,discount,start_date,end_date,value_discount,card_id,name
BAQ,451269,369180,369528,20231001_BAQ_fritos_piloto_NB_azucaryendulzantes_W39,2023-10-01,2023-10-31,4.0,"[435511, 446362, 67822]","['Azúcar Blanco Providencia x 1kg', 'Panela cuadrada Oromiel x 480gr', 'Azúcar en Bulto Nacional x 50kg']"
BAQ,451270,369181,369527,20231001_BAQ_fritos_piloto_NB_arroz_W39,2023-10-01,2023-10-31,4.0,[223861],['Arroz Naoli x 3kg']
BAQ,451271,369183,369530,20231001_BAQ_fritos_piloto_NB_cafechocolateeinfusiones_W39,2023-10-01,2023-10-31,10.0,"[160209, 460968]","['Café Sello Rojo Institucional x 500gr', 'Cafe Molido Bary x 300gr']"
BAQ,451272,369192,369539,20231001_BAQ_fritos_piloto_NB_harinasymezclas_W39,2023-10-01,2023-10-31,6.0,"[-201185, 25524, 207250, -200869]","['Harina Precocida Blanca La Nieve x 500gr', 'Harina De Trigo Tradicional La Nieve x 500gr', 'Harina Blanca Doñarepa x 1kg', 'Harina Haz de Oros x 500gr']"
BAQ,451273,369188,369535,20231001_BAQ_fritos_piloto_NB_detergentejabonylavalozas_W39,2023-10-01,2023-10-31,17.0,"[443634, 48223, 419411, 419413, 419412]","['Detergente en Polvo Multiusos Floral Moppy x 1Kg', 'Crema lavaloza limón Limpia Ya 450gr', 'Lavaloza en crema limón Moppy x 3000 gr', 'Lavaloza en crema limón Moppy x 1000 gr', 'Lavaloza en crema limón Moppy x 500 gr']"
BAQ,451274,369187,369534,20231001_BAQ_fritos_piloto_NB_desinfectantesysanitizantes_W39,2023-10-01,2023-10-31,19.0,[236666],['Blanqueador Moppy x 2000 ml']
BAQ,451275,370002,369549,20231001_BAQ_fritos_piloto_NB_salsas_W39,2023-10-01,2023-10-31,15.0,"[208119, 409759, 208113, 208115, 208117]","['Salsa con Mostaza Pompeya Bolsa x 1.000gr', 'Vinagre Blanco Bary galón x 3000ml', 'Salsa con Tomate Pompeya Bolsa x 1.000gr', 'Salsa con Tomate Pompeya x 4.300gr', 'Mayonesa Pompeya Bolsa x 4.000gr']"
BAQ,451276,369196,369543,20231001_BAQ_fritos_piloto_NB_papelytoallas_W39,2023-10-01,2023-10-31,12.0,"[438274, 458042, 296559]","['Servilleta cortada Nube x 300 und', 'Toalla de Cocina TH Mia x 45 Hojas', 'Papel higienico Rosal G x 1 und']"
BAQ,451277,369178,369526,20231001_BAQ_fritos_piloto_NB_aguas_W39,2023-10-01,2023-10-31,10.0,"[412377, 465809]","['Agua Cristalina 24und x 300 ml', 'Agua Cielo x 1000 ml']"
BAQ,451278,369194,369541,20231001_BAQ_fritos_piloto_NB_jugos_W39,2023-10-01,2023-10-31,12.0,"[411587, 432729, 411578, 432736]","['Jugo Hit Frutas Tropicales x 1Lt', 'Jugo Hit Naranja Piña x 1Lt', 'Jugo Hit Mango x 1Lt', 'Jugo Hit Mora x 1Lt']"
BAQ,451279,369191,369538,20231001_BAQ_fritos_piloto_NB_gaseosas_W39,2023-10-01,2023-10-31,9.0,"[204446, 184217, 217568, 440825, 411575, 217569]","['Gaseosa Quatro 12und x 400 ml', 'Gaseosa Coca Cola pet 12und x 400 ml', 'Gaseosa Manzana Postobon x 1.5Lt', 'Gaseosa Coca Cola x 1.5Lt', 'Gaseosa Manzana Postobon 12und x 250 ml ', 'Gaseosa Colombiana x 1.5Lt']"
BAQ,451280,369189,369536,20231001_BAQ_fritos_piloto_NB_embutidos_W39,2023-10-01,2023-10-31,9.0,"[229120, 117826, 229119]","['Mortadela de Jamon Santa Cruz x 500gr  ', 'Salchichon Cervecero  Cunit x 1kg ', 'Salchicha Manguera Santa Cruz x 500gr']"
BAQ,451281,369197,369544,20231001_BAQ_fritos_piloto_NB_pescadosymariscoscongelado_W39,2023-10-01,2023-10-31,11.0,"[452578, 411571, 432068]","['Mojarra Pequeña Roja Sesa Dispez', 'Mojarra Roja Coalcar', 'Basa en Rodajas Frigogher']"
BAQ,451282,370001,369548,20231001_BAQ_fritos_piloto_NB_res_W39,2023-10-01,2023-10-31,12.0,"[426078, 423726, 426072, 423730]","['carne Blanda para Asar 5und x 200gr', 'Carne Molida Corriente de Res ', 'Carne Blanda para Asar 10und x 100gr', 'Carne Molida Especial de Res ']"
BAQ,451283,369198,369545,20231001_BAQ_fritos_piloto_NB_pollo_W39,2023-10-01,2023-10-31,12.0,"[117312, 117079, 156060, 156059]","['Pollo Entero Marinado  Mercapollo', 'Pechuga Mercapollo', 'Muslo con Contra Muslo  Campollo', 'Pechuga con Hueso y Piel  Campollo']"
BAQ,451284,369199,369546,20231001_BAQ_fritos_piloto_NB_pulpasdefruta_W39,2023-10-01,2023-10-31,12.0,"[45489, 432732, 432726]","['Fresa Congelada', 'Pulpa de Fresa Sas x 1kg', 'Pulpa de Pera Sas 1kg']"
BAQ,451285,369182,369529,20231001_BAQ_fritos_piloto_NB_bolsas_W39,2023-10-01,2023-10-31,14.0,"[317359, 359440, 435726, 317360, 359442, 359441]","['Bolsa manigueta blanca 3 Kg x 100 und', 'Bolsa de papel de 1 lb (9x20cm) x 100 und', 'Bolsa manigueta blanca 1.5 Kg x 100 und', 'Bolsa manigueta blanca 5 Kg x 100 und', 'Bolsa de papel de 3 lb (12.5x25.5cm) x 100 und', 'Bolsa de papel de 2 lb (10.5x23.5cm) x 100 und']"
BAQ,451286,369184,369531,20231001_BAQ_fritos_piloto_NB_contenedores_W39,2023-10-01,2023-10-31,9.0,"[117260, 67344, 340509, 228809, 91509]","['Contenedor sopa 16 Oz con Tapa Icopor  Darnel x 20 und ', 'Contenedor sopa 24 Oz Darnel x 20 und ', 'Contenedor J1 Kangupor x 200 und', 'Contenedor 32 Oz tapa icopor Darnel x 20 und', 'Contendor c1 Blanco Darnel']"
BAQ,451287,369185,369532,20231001_BAQ_fritos_piloto_NB_cubiertosypitillos_W39,2023-10-01,2023-10-31,13.0,"[271511, 271519, 452111, 452112, 368161]","['Palitos brocheta 25 cm Festival x 100 und', 'Palillo doble punta Panda  x 180 und', 'Tenedor Suraplas x 100 und', 'Cuchara Suraplas x 100 und', 'Pitillos 25cm Tami x 200 und']"
