region_code,offer_id,customer_segment_id_test,customer_segment_id_control,discount,start_date,end_date,value_discount,card_id,name
VCP,563550,445433,444794,20231101_VCP_pratosrefeicoes_piloto_NB_refrigeranteseenergeticos_W44,2023-11-01,2023-11-30,7.0,"[341236, 448362, 448359, 326485, 326513]","['Coca-Cola 2L', 'Xereta Tubaína 2L', 'Xereta Guaraná 2L', 'Coca-Cola 350ml', 'H2OH! Limoneto 500ml']"
VCP,563551,445434,444795,20231101_VCP_pratosrefeicoes_piloto_NB_sucosechas_W44,2023-11-01,2023-11-30,9.0,"[326474, 326478, 326477]","['Del Valle Goiaba 290ml', 'Del Valle Uva 290ml', 'Del Valle Pêssego 290ml']"
VCP,563552,445414,444399,20231101_VCP_pratosrefeicoes_piloto_NB_destilados_W44,2023-11-01,2023-11-30,5.0,"[422777, 422779]","['Cachaça 51 965ml', 'Cachaça Velho Barreiro 910ml']"
VCP,563553,445402,444387,20231101_VCP_pratosrefeicoes_piloto_NB_alimentoscongelados_W44,2023-11-01,2023-11-30,10.0,"[418226, 383891, 382485, 418229, 418237]","['Polenta Palito 1.02kg - Agro Yoshi', 'Anéis de Cebola 1.1kg - Morixe', 'Ervilha 1.1kg - Lar', 'Mandioca Tolete 1.02kg - Agro Yoshi', 'Brócolis 1.02kg - Agro Yoshi']"
VCP,563554,445406,444391,20231101_VCP_pratosrefeicoes_piloto_NB_batataspre-fritas_W44,2023-11-01,2023-11-30,7.0,"[465853, 432721, 427628]","['Batata Pré-Frita Tradicional 2kg - Golden Phoenix', 'Batata Pré-Frita Tradicional 2.5kg - Mais Batata', 'Batata Pré Frita Tradicional 2kg - Mais Batata']"
VCP,563555,445416,445101,20231101_VCP_pratosrefeicoes_piloto_NB_embalagens_W44,2023-11-01,2023-11-30,8.0,"[382479, 382480]","['Tampa Marmitex Spumapac', 'Marmitex P 500ml - REF7 Spumapac']"
VCP,563556,445430,444791,20231101_VCP_pratosrefeicoes_piloto_NB_papeis_W44,2023-11-01,2023-11-30,7.0,"[326518, 326516, 326520]","['Papel toalha Kitchen Jumbo leve 240 pague 220 folhas', 'Papel higiênico folha simples Sublime leve 16 pague 15 rolos', 'Papel Toalha Kitchen 120 folhas']"
VCP,563557,445421,445106,20231101_VCP_pratosrefeicoes_piloto_NB_frutas_W44,2023-11-01,2023-11-30,12.0,"[328557, 328511, 328555, 328564, 413670, 328526]","['Limão Taiti kg', 'Abacaxi Pérola', 'Laranja Pera', 'Manga Palmer', 'Laranja Pera Saco', 'Banana Nanica']"
VCP,563558,445424,445109,20231101_VCP_pratosrefeicoes_piloto_NB_legumes_W44,2023-11-01,2023-11-30,9.0,"[328623, 328534, 328512, 328515, 328542, 328543]","['Tomate Italiano', 'Beterraba', 'Abóbora Cabotian', 'Abobrinha Italiana', 'Cenoura Kg', 'Chuchu']"
VCP,563559,445437,444798,20231101_VCP_pratosrefeicoes_piloto_NB_tuberculos_W44,2023-11-01,2023-11-30,12.0,"[328531, 328523, 328532, 328538]","['Batata Doce Rosa', 'Alho Descascado Pacote 1KG', 'Batata Lavada', 'Cebola']"
VCP,563560,445439,444800,20231101_VCP_pratosrefeicoes_piloto_NB_verduras_W44,2023-11-01,2023-11-30,8.0,"[328518, 328547, 328536, 328617, 328519]","['Alface Americana', 'Couve Manteiga', 'Brocolis Ninja', 'Repolho Branco', 'Alface Crespa']"
VCP,563561,445423,445108,20231101_VCP_pratosrefeicoes_piloto_NB_laticinios_W44,2023-11-01,2023-11-30,8.0,"[326492, 452571, 325920, 326488, 450741, 326489]","['Creme de Leite Leve Piracanjuba 1,03kg', 'Creme de Leite Leve 1.03kg - Italac', 'Base Culinária Triangulo Mineiro 1kg', 'Leite Condensado Semidesnatado Piracanjuba 395g', 'Creme de Leite Leve 200g - Líder', 'Creme de Leite Leve Piracanjuba 200g']"
VCP,563562,445425,444788,20231101_VCP_pratosrefeicoes_piloto_NB_leite_W44,2023-11-01,2023-11-30,5.0,"[325930, 443259]","['Leite Integral Italac 1L', 'Leite Integral Líder 1L']"
VCP,563563,445426,444789,20231101_VCP_pratosrefeicoes_piloto_NB_manteigasemargarinas_W44,2023-11-01,2023-11-30,6.0,"[353820, 353819, 353821, 353818]","['Margarina Cremosa com Sal 1kg - Claybom', 'Margarina Cremosa com Sal 0.5kg - Qualy', 'Margarina Cremosa com Sal 1kg - Qualy', 'Margarina Cremosa 3kg - Sofiteli']"
VCP,563564,445432,444793,20231101_VCP_pratosrefeicoes_piloto_NB_queijos_W44,2023-11-01,2023-11-30,5.0,"[434764, 435559, 427630, 427639, 463963, 429330]","['Queijo Mussarela 4.1kg - Monte Castelo', 'Requeijão Cremoso 1.5kg - Tirolez', 'Queijo Mussarela 4kg - Litoral', 'Queijo Mussarela Fatiado 1kg - Goiabal', 'Queijo Mussarela Litoral 3.75kg', 'Requeijão Cremoso 1.5kg - Catupiry']"
VCP,563565,445429,444790,20231101_VCP_pratosrefeicoes_piloto_NB_ovos_W44,2023-11-01,2023-11-30,10.0,"[451194, 465212]","['Ovos Grandes Brancos Caldana', 'Caixa de Ovos Brancos Extra Mantiqueira']"
VCP,563566,445412,444397,20231101_VCP_pratosrefeicoes_piloto_NB_desengordurantes_W44,2023-11-01,2023-11-30,10.0,[332297],['Desengordurante Triex 500ml']
VCP,563567,445413,444398,20231101_VCP_pratosrefeicoes_piloto_NB_desinfetantesesanitizantes_W44,2023-11-01,2023-11-30,10.0,"[326092, 455118, 326086, 455117, 326091, 455109]","['Água Sanitária Suprema 5L', 'Desinfetante Lavanda Conde 5L', 'Álcool Bactericida Top 70° 1L', 'Desinfetante Talco Conde 5L', 'Água Sanitária Suprema 2L', 'Água Sanitária Conde 5L']"
VCP,563568,445438,444799,20231101_VCP_pratosrefeicoes_piloto_NB_utensiliosdelimpeza_W44,2023-11-01,2023-11-30,10.0,"[326526, 440956, 332290]","['Esponja de Aço Bombril', 'Esponja de Aço Assolan 8 unidades', 'Esponja multiuso Triex Leve 4 Pague 3']"
VCP,563569,445428,444786,20231101_VCP_pratosrefeicoes_piloto_NB_outroslimpadores_W44,2023-11-01,2023-11-30,10.0,"[455121, 455113]","['Limpador Multiuso Tradicional Conde 500ml', 'Limpador Multiuso Lavanda Conde 500ml']"
VCP,563570,445415,444400,20231101_VCP_pratosrefeicoes_piloto_NB_detergentesabaoelava-louas_W44,2023-11-01,2023-11-30,10.0,"[440948, 378282, 440951, 455410, 332289]","['Detergente Ypê Clear 500ml', 'Sabão em pó Triex 800g', 'Detergente Ypê Neutro 500ml', 'Detergente Ypê Neutro 5L', 'Detergente Triex Neutro 5L']"
VCP,563571,445404,444389,20231101_VCP_pratosrefeicoes_piloto_NB_aucaradoantesedoces_W44,2023-11-01,2023-11-30,3.0,"[457772, 457775]","['Açúcar Cristal Caravelas 5kg', 'Açúcar Refinado Caravelas 1kg']"
VCP,563572,445403,444388,20231101_VCP_pratosrefeicoes_piloto_NB_arroz_W44,2023-11-01,2023-11-30,5.0,"[325416, 326609]","['Arroz Branco Campeiro 5Kg', 'Arroz Branco Camil Food Service 5kg']"
VCP,563573,445410,444395,20231101_VCP_pratosrefeicoes_piloto_NB_condimentos_W44,2023-11-01,2023-11-30,5.0,"[392132, 392122, 392118, 392123, 392130, 392120, 425068, 458021]","['Molho Barbecue Cepêra 1,01Kg', 'Molho Inglês Cepêra 1,01L', 'Molho Shoyu Cepêra 1,01L', 'Mostarda Amarela Cepêra 3,3Kg', 'Ketchup Cepêra 3,5Kg', 'Mostarda Amarela Cepêra 1,01Kg', 'Maionese Mariana 3kg', 'Molho de Pimenta Olé 150ml']"
VCP,563574,445407,444392,20231101_VCP_pratosrefeicoes_piloto_NB_cafechocolateseinfusoes_W44,2023-11-01,2023-11-30,5.0,"[450740, 413550, 325921, 325923, 450738, 413552]","['Café Brasileiro Tradicional Vácuo 500g', 'Café Tradicional Almofada Moraes 500g', 'Café Tradicional Pouch FORT 500g', 'Café Extraforte Pouch 3 Corações 500g', 'Café Brasileiro Extraforte Vácuo 500g', 'Café Extraforte Almofada Moraes 500g']"
VCP,563575,445405,444390,20231101_VCP_pratosrefeicoes_piloto_NB_azeitesoleosevinagres_W44,2023-11-01,2023-11-30,4.0,"[325412, 330762, 448857, 361322, 448851, 330760, 330759]","['Óleo de Soja Vitaliv 900ml', 'Vinagre de Álcool Galo de Barcelos 750ml', 'Vinagre De Álcool Castelo 5L', 'Vinagre de Álcool Colorido Galo de Barcelos 3L', 'Vinagre De Álcool Castelo 750ml', 'Óleo Composto Olinda 3L', 'Óleo Composto Olinda 500ml']"
VCP,563576,445411,444396,20231101_VCP_pratosrefeicoes_piloto_NB_conservaseenlatados_W44,2023-11-01,2023-11-30,5.0,"[458029, 458020, 458018, 341115, 341215, 341117, 458027, 372009]","['Ervilha Olé Lata 170g', 'Milho Verde Olé 170g', 'Azeitona Verde Fatiada Olé 120g', 'Azeitona Verde Fatiada Fornello Balde 2kg', 'Ervilha e Milho Quero 2kg', 'Champignon Fatiado Fornello Balde 1,01kg', 'Milho Verde Olé 1,7kg', 'Milho Verde Quero 170g']"
VCP,563577,445418,445102,20231101_VCP_pratosrefeicoes_piloto_NB_farinhasemisturas_W44,2023-11-01,2023-11-30,9.0,"[395309, 387431, 326814, 462089, 440069, 326815, 462081, 396614, 448825]","['Fermento em Pó Tradicional Dona Benta 100g', 'Farinha de Trigo Anaconda 1Kg', 'Farinha de Mandioca Branca Seca Fina Kicaldo 1Kg', 'Farofa Pronta Kisabor 400g', 'Amido de Milho Kimimo 500g', 'Farinha de Mandioca Branca Seca Grossa Kicaldo 1Kg', 'Farinha de Rosca Kisabor 5kg', 'Farinha de Mandioca Torrada Kicaldo 1Kg', 'Farinha de Trigo Três Coroas 1kg']"
VCP,563578,445422,445107,20231101_VCP_pratosrefeicoes_piloto_NB_graos_W44,2023-11-01,2023-11-30,5.0,"[399516, 399514]","['Grão de Bico Kicaldo 500g', 'Lentilha Kicaldo 500g']"
VCP,563579,445419,445104,20231101_VCP_pratosrefeicoes_piloto_NB_feijao_W44,2023-11-01,2023-11-30,5.0,"[326614, 326812]","['Feijão Preto Camil 1kg', 'Feijão Carioca Kicaldo 1kg']"
