region_code,offer_id,discount,value_discount,subcat,group,all_customer,customer_count,gmv_usd,discount_usd,quantity,margin,cash_margin,net_cash_margin,convertion_rate,AOV,AOV_net,dct_avg
SPO,453346,20231001_SPO_sucosacai_piloto_NB_utensilios_W39,10.0,Utensílios,control,570,1,1.5705263,0.172631,2.0,0.2726,0.42812546938,0.25549446938,0.0017543859649122807,1.5705263,0.42812546938,0.172631
SPO,453346,20231001_SPO_sucosacai_piloto_NB_utensilios_W39,10.0,Utensílios,test,186,6,22.9473683,2.526313,32.0,0.2726,6.25545259858,3.72913959858,0.03225806451612903,3.8245613833333336,1.0425754330966666,0.42105216666666667
SPO,453348,20231001_SPO_sucosacai_piloto_NB_laticinios_W39,7.0,Laticínios,control,438,26,694.5726299,27.067359,752.0,0.09653947368421052,68.90865079464,3.718418195509997,0.0593607305936073,26.71433191923077,2.650332722870769,1.0410522692307693
SPO,453348,20231001_SPO_sucosacai_piloto_NB_laticinios_W39,7.0,Laticínios,test,160,25,627.8442086,36.587351,598.0,0.10792790697674419,76.3752863095,25.55298755047,0.15625,25.113768344,3.05501145238,1.4634940399999998
SPO,453349,20231001_SPO_sucosacai_piloto_NB_verduras_W39,6.0,Verduras,control,409,17,42.6378932,0.9978940000000001,120.0,0.20143103448275862,6.43231819297,-0.3911765429300001,0.04156479217603912,2.5081113647058824,0.37837165841000003,0.05869964705882353
SPO,453349,20231001_SPO_sucosacai_piloto_NB_verduras_W39,6.0,Verduras,test,125,10,40.0589463,1.612624,82.0,0.19724761904761903,8.75146422368,3.08154680998,0.08,4.00589463,0.8751464223679999,0.1612624
SPO,453350,20231001_SPO_sucosacai_piloto_NB_tuberculos_W39,10.0,Tubérculos,control,426,16,60.6210516,5.376838,73.0,0.3009263157894737,18.4035167427,4.048242257219999,0.03755868544600939,3.788815725,1.15021979641875,0.336052375
SPO,453350,20231001_SPO_sucosacai_piloto_NB_tuberculos_W39,10.0,Tubérculos,test,130,11,124.36210419999999,9.719994,171.0,0.2800263157894737,37.24200981026,19.481999016839996,0.08461538461538462,11.305645836363636,3.3856372554781817,0.8836358181818181
SPO,453351,20231001_SPO_sucosacai_piloto_NB_leite_W39,5.0,Leite,control,277,34,841.9873667,57.082078,968.0,0.07722439024390243,66.46453186326,9.382453863260004,0.12274368231046931,24.764334314705884,1.9548391724488237,1.6788846470588237
SPO,453351,20231001_SPO_sucosacai_piloto_NB_leite_W39,5.0,Leite,test,105,16,1153.1768412,79.282094,1309.0,0.07639090909090909,105.61802644524,26.33593244524,0.1523809523809524,72.073552575,6.6011266528275,4.955130875
SPO,453352,20231001_SPO_sucosacai_piloto_NB_desengordurantes_W39,10.0,Desengordurantes,control,537,1,2.0273684,0.0,3.0,0.2681,0.5435374680399999,0.0,0.00186219739292365,2.0273684,0.5435374680399999,0.0
SPO,453352,20231001_SPO_sucosacai_piloto_NB_desengordurantes_W39,10.0,Desengordurantes,test,214,8,35.6063155,3.1831549999999997,55.0,0.2681,9.54605318555,5.3300076804,0.037383177570093455,4.4507894375,1.19325664819375,0.39789437499999997
SPO,453353,20231001_SPO_sucosacai_piloto_NB_desinfetantesesanitizantes_W39,10.0,Desinfetantes e sanitizantes,control,453,24,116.4526302,4.193674,105.0,0.16050333333333333,19.51434946845,7.7639170241099995,0.052980132450331126,4.852192925,0.81309789451875,0.17473641666666664
SPO,453353,20231001_SPO_sucosacai_piloto_NB_desinfetantesesanitizantes_W39,10.0,Desinfetantes e sanitizantes,test,152,52,419.9157861,38.031548,439.0,0.1555695652173913,64.61350371463,19.8286555531,0.34210526315789475,8.075303578846153,1.2425673791275,0.7313759230769231
SPO,453354,20231001_SPO_sucosacai_piloto_NB_detergentesabaoelava-louas_W39,10.0,"Detergente, sabão e lava-louças",control,429,36,202.8252609,12.122086,401.0,0.17755238095238096,35.28172631742,22.26865422862,0.08391608391608392,5.634035024999999,0.9800479532616667,0.33672461111111107
SPO,453354,20231001_SPO_sucosacai_piloto_NB_detergentesabaoelava-louas_W39,10.0,"Detergente, sabão e lava-louças",test,137,34,295.778945,28.538922,530.0,0.17636000000000002,51.89091577645,23.351993776450005,0.24817518248175183,8.699380735294119,1.526203405189706,0.8393800588235294
SPO,453355,20231001_SPO_sucosacai_piloto_NB_outroslimpadores_W39,10.0,Outros limpadores,control,546,3,6.1557893,0.0,10.0,0.3567666666666667,2.13420709593,0.0,0.005494505494505495,2.051929766666667,0.71140236531,0.0
SPO,453355,20231001_SPO_sucosacai_piloto_NB_outroslimpadores_W39,10.0,Outros limpadores,test,184,5,28.2884208,2.839996,49.0,0.3652666666666667,10.51852349238,7.678527492380001,0.02717391304347826,5.6576841600000005,2.103704698476,0.5679992
SPO,453356,20231001_SPO_sucosacai_piloto_NB_utensiliosdelimpeza_W39,10.0,Utensílios de limpeza,control,524,13,33.0778944,0.781049,58.0,0.17787692307692307,5.80339867977,2.88544990085,0.02480916030534351,2.5444534153846154,0.4464152830592308,0.06008069230769231
SPO,453356,20231001_SPO_sucosacai_piloto_NB_utensiliosdelimpeza_W39,10.0,Utensílios de limpeza,test,178,17,61.9578942,6.035781,127.0,0.1767611111111111,10.53060242924,4.49482142924,0.09550561797752809,3.644582011764706,0.61944720172,0.3550459411764706
SPO,453357,20231001_SPO_sucosacai_piloto_NB_aucaradoantesedoces_W39,6.0,"Açúcar, adoçantes e doces",control,312,37,449.831577,9.747366999999999,577.0,0.0538531914893617,15.806068929959999,-16.382204900799998,0.11858974358974358,12.157610189189189,0.42719105216108105,0.2634423513513513
SPO,453357,20231001_SPO_sucosacai_piloto_NB_aucaradoantesedoces_W39,6.0,"Açúcar, adoçantes e doces",test,105,31,534.9873671,24.046299,696.0,0.05240454545454545,26.824387706379998,-6.698596728500003,0.29523809523809524,17.25765700322581,0.8653028292380645,0.7756870645161291
SPO,453358,20231001_SPO_sucosacai_piloto_NB_cafechocolateseinfusoes_W39,8.0,"Café, chocolates e infusões",control,474,17,512.5410515,45.44631,165.0,0.09327619047619048,42.59114283855,-30.12879825863,0.035864978902953586,30.149473617647057,2.5053613434441178,2.6733123529411764
SPO,453358,20231001_SPO_sucosacai_piloto_NB_cafechocolateseinfusoes_W39,8.0,"Café, chocolates e infusões",test,145,26,931.3852613,105.439989,324.0,0.10295142857142857,81.48811873717,-33.908068140089995,0.1793103448275862,35.82251005,3.134158412968077,4.0553841923076925
SPO,453359,20231001_SPO_sucosacai_piloto_NB_embutidos_W39,10.0,Embutidos,control,500,11,150.2621046,12.93789,40.5,0.12724545454545455,17.240205489090002,4.3023154890900015,0.022,13.660191327272726,1.5672914080990912,1.1761718181818182
SPO,453359,20231001_SPO_sucosacai_piloto_NB_embutidos_W39,10.0,Embutidos,test,153,19,459.9684197,45.943146999999996,121.0,0.13384000000000001,68.34155348947,20.262706284190003,0.12418300653594772,24.208864194736844,3.5969238678668423,2.4180603684210524
SPO,453383,20231001_SPO_other_piloto_NB_aguaseisotonicos_W39,5.0,Águas e isotônicos,control,678,47,641.9873659,64.067361,3840.0,0.2624745762711865,159.19691552882,6.102727270399997,0.06932153392330384,13.659305657446808,3.3871684155068085,1.363135340425532
SPO,453383,20231001_SPO_other_piloto_NB_aguaseisotonicos_W39,5.0,Águas e isotônicos,test,302,53,703.3010496,41.052595,3744.0,0.27814246575342466,203.4933212381,143.18815877512,0.17549668874172186,13.269831124528302,3.8394966271339626,0.7745772641509433
