region_code,offer_id,discount,value_discount,subcat,group,all_customer,customer_count,gmv_usd,discount_usd,quantity,margin,cash_margin,net_cash_margin,convertion_rate,AOV,AOV_net,dct_avg,diff_net_GMV,diff_net_dct,ROI
BAQ,689877,20240101_BAQ_comidarapida_piloto_NB_leches_W1,8.0,Leches,control,431,6,53.586170550400006,1.706038132,10.0,0.0927,4.9674380100220805,3.2613998780220803,0.013921113689095127,8.931028425066668,0.82790633500368,0.28433968866666665,0.6421812748331635,7.703836706259861,0.08335863016298749
BAQ,689877,20240101_BAQ_comidarapida_piloto_NB_leches_W1,8.0,Leches,test,240,10,108.1728998936,8.653834738,28.0,0.1018,11.11210875233502,2.4582740143350206,0.041666666666666664,10.81728998936,1.111210875233502,0.8653834738,0.6421812748331635,7.703836706259861,0.08335863016298749
BAQ,689878,20240101_BAQ_comidarapida_piloto_NB_aguas_W1,14.0,Aguas,control,474,3,5.603257415099999,0.033453389,14.0,-0.0175,-0.09805700476425001,-0.04077108629775,0.006329113924050633,1.8677524716999996,-0.03268566825475001,0.011151129666666667,4.653893262826194,9.727896862628691,0.47840692891234143
BAQ,689878,20240101_BAQ_comidarapida_piloto_NB_aguas_W1,14.0,Aguas,test,268,6,69.6200635589,9.746811437,54.0,0.18321428571428572,14.326348612212652,4.57953717521265,0.022388059701492536,11.603343926483333,2.3877247687021086,1.6244685728333332,4.653893262826194,9.727896862628691,0.47840692891234143
BAQ,689879,20240101_BAQ_comidarapida_piloto_NB_detergentejabonylavalozas_W1,15.0,"Detergente, jabón & lavalozas",control,400,19,79.95341101550001,0.692674788,46.0,0.18346666666666667,14.36711169783377,0.46063137987149994,0.0475,4.208074263973685,0.7561637735701985,0.03645656778947368,-4.082814437978133,23.204234955249998,-0.17595126259719193
BAQ,689879,20240101_BAQ_comidarapida_piloto_NB_detergentejabonylavalozas_W1,15.0,"Detergente, jabón & lavalozas",test,175,25,142.3026350622,23.507280174999998,133.0,0.18770714285714285,25.40703188507414,1.8131095061668616,0.14285714285714285,5.692105402488,1.0162812754029655,0.9402912069999999,-4.082814437978133,23.204234955249998,-0.17595126259719193
BAQ,689880,20240101_BAQ_comidarapida_piloto_NB_desinfectantesysanitizantes_W1,11.0,Desinfectantes & sanitizantes,control,435,16,21.7068988342,0.642693317,32.0,0.057,1.2372932335494,0.5945999165494001,0.0367816091954023,1.3566811771375,0.0773308270968375,0.0401683323125,-1.4247440723166946,2.7035793664390804,-0.526984371164677
BAQ,689880,20240101_BAQ_comidarapida_piloto_NB_desinfectantesysanitizantes_W1,11.0,Desinfectantes & sanitizantes,test,227,18,33.7632150417,3.038961856,50.0,0.05700000000000001,1.9245032573769,-1.1144585986230997,0.07929515418502203,1.8757341689833333,0.10691684763205,0.16883121422222222,-1.4247440723166946,2.7035793664390804,-0.526984371164677
BAQ,689881,20240101_BAQ_comidarapida_piloto_NB_alimentoscongelados_W1,15.0,Alimentos congelados,control,387,5,30.6450370762,0.398111758,8.0,0.2243,6.56467172721162,0.52948752854274,0.012919896640826873,6.12900741524,1.3129343454423241,0.0796223516,49.270955224406535,180.28694260297934,0.273291867469898
BAQ,689881,20240101_BAQ_comidarapida_piloto_NB_alimentoscongelados_W1,15.0,Alimentos congelados,test,293,44,1176.6787341085999,180.588355381,281.0,0.2335962962962963,234.52804980690266,45.763623432798646,0.15017064846416384,26.74269850246818,5.330182950156878,4.104280804113636,49.270955224406535,180.28694260297934,0.273291867469898
BAQ,689882,20240101_BAQ_comidarapida_piloto_NB_bolsas_W1,15.0,Bolsas,control,401,10,37.9122537068,0.0,34.0,0.17793529411764708,6.61788875991228,0.0,0.02493765586034913,3.7912253706800003,0.661788875991228,0.0,0.0745141083589016,21.941904111,0.0033959727461185057
BAQ,689882,20240101_BAQ_comidarapida_piloto_NB_bolsas_W1,15.0,Bolsas,test,221,22,146.1139883455,21.941904111,149.0,0.1822888888888889,25.66368359576941,2.2590200282518906,0.09954751131221719,6.641544924795454,1.1665310725349731,0.9973592777727273,0.0745141083589016,21.941904111,0.0033959727461185057
BAQ,689883,20240101_BAQ_comidarapida_piloto_NB_arroz_W1,5.0,Arroz,control,440,19,563.8008289181,16.914041307,38.0,-0.00917,-1.01343404315083,-17.92747535015083,0.04318181818181818,29.67372783779474,-0.053338633850043685,0.8902127003684212,-15.927878472065785,28.066289401313636,-0.5675092365904374
BAQ,689883,20240101_BAQ_comidarapida_piloto_NB_arroz_W1,5.0,Arroz,test,146,18,720.8039804011,33.678675835,43.0,0.00785714285714286,11.802135087656891,-21.876540747343107,0.1232876712328767,40.04466557783889,0.655674171536494,1.8710375463888889,-15.927878472065785,28.066289401313636,-0.5675092365904374
